approve,confidence,Year,Reference,Biofluid,Metabolic_traits,Platform,Study_population,N_Traits,Cohort_size,N_Loci,PMID,DOI,PubMed_url,DOI_url,doi_http,journal,snippet,notes
,high,2026,"Landstra et al., Nat Commun 2026",Plasma,970 lipid species and 267 fatty acid composite measures,MS (Metabolon Complex Lipids platform; BUME extraction + LC-MS),Rhineland Study (Germany); validation in FinnGen and EPIC-Potsdam,1237 (970 lipid species + 267 FA composites),"6,096 (discovery); 7,266 (FinnGen validation); 1,188 (EPIC-Potsdam validation)",217 lead genomic loci (136 novel),42069741,10.1038/s41467-026-72542-1,https://pubmed.ncbi.nlm.nih.gov/42069741/,https://doi.org/10.1038/s41467-026-72542-1,200,Nature communications,we perform genome-wide association studies on 970 lipid species and 267 fatty acid composite measures,Preprint twin at 10.1101/2024.12.04.24318368 is not in existing_refs. Platform confirmed from methods: Metabolon Complex Lipids platform with BUME extraction and LC-MS. Population is European (German cohort + Finnish).
,high,2025,"Lin et al., Cell Genom 2025",?,171 directly quantifiable metabolites (NMR-based),NMR,Han Chinese individuals; cross-ancestry meta-analysis with European population,171,"10,792 (discovery), 4,480 (replication Chinese)",?,40118068,10.1016/j.xgen.2025.100810,https://pubmed.ncbi.nlm.nih.gov/40118068/,https://doi.org/10.1016/j.xgen.2025.100810,200,Cell Genom,"We performed large-scale genome-wide association studies of 171 directly quantifiable metabolites from a nuclear magnetic resonance-based metabolomics platform in 10,792 Han Chinese individuals","Biofluid not stated in abstract (likely plasma/serum given NMR metabolomics context, but cannot confirm). N_loci not provided in truncated abstract. 15 variant-metabolite associations at least are mentioned from the discovery cohort."
,high,2025,"Qiang et al., Nat Commun 2025",Plasma,249 metabolic measures and 64 ratios (NMR-based),NMR,"254,825 participants (population not further specified in abstract)",313,"254,825",427,40973927,10.1038/s41467-025-62126-w,https://pubmed.ncbi.nlm.nih.gov/40973927/,https://doi.org/10.1038/s41467-025-62126-w,200,Nat Commun,"We conduct a genome-wide association study (GWAS) identifying 24,438 independent variant-metabolite associations across 427 loci, with effect sizes highly concordant with 19 previous studies",N_traits = 249 measures + 64 ratios = 313 total. Biofluid inferred as plasma from title ('plasma metabolome'). Ancestry not specified in truncated abstract.; possible overlap with existing UKB-NMR entries (Zoodsma / Tambets) — verify distinct
,high,2025,"Takeuchi et al., PPR 2025",Blood,248 blood metabolic biomarkers (NMR spectroscopy),NMR,Japanese individuals (East Asian); cross-ancestry meta-analysis,248,"37,969",?,,10.64898/2025.12.03.25341540,,https://doi.org/10.64898/2025.12.03.25341540,200,PPR,"We conducted the largest genome-wide association study in East Asians to date, quantifying 248 blood metabolic biomarkers using nuclear magnetic resonance spectroscopy in 37,969 Japanese individuals",DOI prefix 10.64898 is unusual (possibly new publisher/preprint server); DOI resolved 200. No PMID. N_loci not in truncated abstract. Journal listed as PPR (preprint). 8 novel associations mentioned.
,high,2025,"Downie et al., HGG Adv 2025",Plasma,81 fatty acids and oxylipins,MS (lipidomics),"Hispanic Community Health Study/Study of Latinos (HCHS/SOL), 58.6% female, mean age 46.1 years",81,"11,584",?,39644095,10.1016/j.xhgg.2024.100390,https://pubmed.ncbi.nlm.nih.gov/39644095/,https://doi.org/10.1016/j.xhgg.2024.100390,200,HGG Adv,"We performed a genome-wide association study (GWAS) of 81 fatty acids and oxylipins in 11,584 Hispanic Community Health Study/Study of Latinos (HCHS/SOL) participants",Biofluid stated as 'circulating levels' - likely plasma/serum; not explicitly specified in abstract. Platform inferred as MS (lipidomics) - not named in truncated abstract. N_loci not in truncated abstract.
,high,2025,"Sun et al., HGG Adv 2025",Plasma,"19 circulating fatty acid traits (polyunsaturated, monounsaturated, saturated)","NMR (Nightingale, UK Biobank)",UK Biobank European ancestry (primary) plus five other ancestries,19,"239,268 (European ancestry discovery); 508–4,663 (other ancestries)","215 (PUFA-related), 163 (MUFA-related), 119 (SFA-related) independent loci in European participants",40545721,10.1016/j.xhgg.2025.100470,https://pubmed.ncbi.nlm.nih.gov/40545721/,https://doi.org/10.1016/j.xhgg.2025.100470,200,HGG advances,we conducted GWAS to identify additional genetic loci for 19 circulating FA traits in UK Biobank participants,Published version of preprint 10.1101/2024.11.11.24317110. Platform confirmed as Nightingale NMR via UK Biobank metabolomics protocol. N_loci counts are per FA class; abstract gives 70+61+54 novel loci within those totals.
,high,2025,"Wang et al., Am J Hum Genet 2025",Plasma,"1,135 circulating metabolites (selected from 1,729 harmonized)",MS (Metabolon),NHLBI TOPMed Program; ancestrally diverse (multi-ethnic) cohorts,1135,"16,359 (GWAS); 25,058 (harmonized catalog)","1,775 independent loci associated with 667 metabolites",40972578,10.1016/j.ajhg.2025.08.022,https://pubmed.ncbi.nlm.nih.gov/40972578/,https://doi.org/10.1016/j.ajhg.2025.08.022,200,American journal of human genetics,"performed a genome-wide association analysis on 1,135 selected metabolites using whole-genome sequencing data from 16,359 individuals","Multi-ancestry study leveraging TOPMed WGS data. Platform is Metabolon (co-author affiliation: Metabolon Inc., and confirmed by paper context). Includes 85 sex-dimorphic locus-metabolite pairs. Harmonized catalog covers 1,729 metabolites across 25,058 samples."
,high,2024,"van der Meer et al., medRxiv 2024",Plasma,249 circulating plasma metabolic markers (Nightingale NMR panel),NMR (Nightingale),White British UK Biobank participants; replication in UK Biobank,249,"207,836 (discovery), 27,509 (replication)",?,,10.1101/2024.07.30.24311254,,https://doi.org/10.1101/2024.07.30.24311254,200,medRxiv,"We performed univariate and multivariate genome-wide association studies (GWAS) on the Nightingale panel of 249 circulating plasma metabolic markers, across 207,836 White British UK Biobank participants",Preprint (medRxiv). N_loci not provided in truncated abstract. Focuses on pleiotropy and sex-specific genetic architecture. No published twin in existing_refs.txt.; possible overlap with existing UKB-NMR entries (Karjalainen 2024 / Tambets / Zoodsma) — verify distinct
,medium,2026,"Cai et al., J Biomed Res 2026",Plasma,846 plasma metabolites,?,Han Chinese individuals,846,495,?,42135028,10.7555/jbr.39.20250530,https://pubmed.ncbi.nlm.nih.gov/42135028/,https://doi.org/10.7555/jbr.39.20250530,200,Journal of biomedical research,Genome-wide association study (GWAS) analyses of 846 plasma metabolites were performed in 495 Han Chinese individuals to identify mQTLs.,"DOI returns HTTP 200 (journal of biomedical research). Platform not specified in abstract. Very small N (495) — discovery only with no replication cohort mentioned in abstract. N_loci not given in truncated abstract. Qualifies as primary mQTL analysis of human plasma metabolite panel (846 metabolites). DOI resolves, PMID 42135028 also resolves on PubMed."
,medium,2025,"Zaki et al., Sci Rep 2025",Urine,"14 unique urinary metabolites (alanine, 3-aminoisobutyrate, betaine, creatine, creatinine, formate, glycine, glycolate, histidine, 2-hydroxybutyrate, lysine, threonine, trimethylamine, tyrosine)",Various (meta-analysis of existing GWAS; primarily NMR-based studies),"Meta-analysis of multiple cohorts (max N=5,319 for glycine)",14,"Up to 5,319 (varies by metabolite)","48 independent lead SNPs across 14 metabolites; 4 novel (1 novel locus for tyrosine, 3 newly associated SNPs in known loci)",40595242,10.1038/s41598-025-07518-0,https://pubmed.ncbi.nlm.nih.gov/40595242/,https://doi.org/10.1038/s41598-025-07518-0,200,Scientific reports,"first comprehensive meta-analysis of urinary metabolite GWAS studies, aiming to consolidate existing data on metabolite-SNP associations","Published version of preprint 10.1101/2024.06.25.600593 (not in existing_refs). This is a GWAS meta-analysis, not a primary new GWAS; N_traits and N_loci are based on abstract. Platform is heterogeneous across contributing studies. Qualifies as mQTL analysis aggregating urinary metabolomics panel GWAS data."
,medium,2025,"Eissman et al., Alzheimers Dement 2025",Plasma,6881 small molecule metabolites,?,229 older adults with clinical AD and 322 age-matched healthy controls (USA),6881,551 (229 AD + 322 controls),?,41236724,10.1002/alz.70898,https://pubmed.ncbi.nlm.nih.gov/41236724/,https://doi.org/10.1002/alz.70898,403,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Unbiased associations between 6881 metabolites and 332,772 common genetic variants were tested, adjusted for age, sex, and both metabolomic and genomic principal components.","DOI returns HTTP 403 but PMID 41236724 resolves on PubMed (HTTP 200). Platform not specified in abstract — untargeted MS inferred from panel size (6881 metabolites) but not confirmed. N_loci not extractable from truncated abstract. Disease-stratified cohort (AD patients + controls), not a general-population study; mQTL analysis using WGS and 332,772 common variants is genome-wide. Qualifies as primary mQTL study of human metabolite panel."
,medium,2025,"Cheng et al., Cell Genom 2025",Serum,2759 serum metabolites,?,Han Chinese individuals (discovery + independent Chinese cohort),2759,?,184,39837327,10.1016/j.xgen.2024.100743,https://pubmed.ncbi.nlm.nih.gov/39837327/,https://doi.org/10.1016/j.xgen.2024.100743,200,Cell genomics,"We quantified 2,759 serum metabolites and performed genome-wide association studies (GWASs) among Han Chinese individuals. We identified 184 study-wide significant metabolite quantitative trait loci.","Platform not specified in abstract — large untargeted panel (2759 metabolites) suggests LC-MS or similar untargeted MS, but cannot confirm without full text. Cohort N not given in truncated abstract. 184 metaboQTLs reported; 88.59% (163) novel. DOI resolves (HTTP 200)."
,medium,2025,"De et al., Sci Rep 2025",Plasma,228 plasma lipoproteins and metabolites,"NMR (Nightingale, inferred)",Northern Finland Birth Cohort 1966 (NFBC 1966) and NFBC 1986 (Finnish),228,>9300,?,40240424,10.1038/s41598-025-94839-9,https://pubmed.ncbi.nlm.nih.gov/40240424/,https://doi.org/10.1038/s41598-025-94839-9,200,Scientific reports,"We have analysed and reported CNVs in over 9,300 individuals and characterised their dosage effect (CNV-metabolomic QTL) on 228 plasma lipoproteins and metabolites.","This is a CNV-metabolomic QTL study, not a traditional SNP-based GWAS. Platform inferred as NMR/Nightingale based on Finnish cohort standard practice and the description of lipoproteins+metabolites (228 measures), but not explicitly stated in abstract. N_loci not given in truncated abstract. Study is borderline: it is genome-wide in the CNV sense, and phenotypes are a metabolite panel in humans. Second part of paper reports metabolomic signatures for COVID-19 GWAS loci; the primary mQTL analysis on 228 metabolites qualifies."
,medium,2025,"Jallow et al., bioRxiv 2025",Serum,"1,015 metabolites (Ex/GWAS)",?,"Amish (Old Order Amish), USA","1,015","5,981",149 functional variants assoc. with 519 metabolites,,10.1101/2025.08.04.667775,,https://doi.org/10.1101/2025.08.04.667775,403 (bot-blocked; resolves in browser),bioRxiv (preprint),"""exome and genome-wide association study (Ex/GWAS) of 1,015 metabolites in serum samples from 5,981 Amish adults""",rescued: agent rejected only for DOI 403 (bot-block); preprint; platform not stated in abstract
