# Existing 98 entries already in the table (do NOT re-add these or their preprint/published twins)
Gieger et al., 2008 | DOI:10.1371/journal.pgen.1000282 | Genetics meets metabolomics: a genome-wide association study of metabolite profiles in human serum.
Hicks et al., 2009 | DOI:10.1371/journal.pgen.1000672 | Genetic determinants of circulating sphingolipid concentrations in European populations.
Illig et al., 2010 | DOI:10.1038/ng.507 | A genome-wide perspective of genetic variation in human metabolism.
Suhre et al., 2011 | DOI:10.1038/ng.837 | A genome-wide association study of metabolic traits in human urine.
Lemaitre et al., 2011 | DOI:10.1371/journal.pgen.1002193 | Genetic loci associated with plasma phospholipid n-3 fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.
Suhre et al., 2011 | DOI:10.1038/nature10354 | Human metabolic individuality in biomedical and pharmaceutical research.
Nicholson et al., 2011 | DOI:10.1371/journal.pgen.1002270 | A genome-wide metabolic QTL analysis in Europeans implicates two loci shaped by recent positive selection.
Kettunen et al., 2012 | DOI:10.1038/ng.1073 | Genome-wide association study identifies multiple loci influencing human serum metabolite levels.
Demirkan et al., 2012 | DOI:10.1371/journal.pgen.1002490 | Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.
Tukiainen et al., 2012 | DOI:- | 
Inouye et al., 2012 | DOI:10.1371/journal.pgen.1002907 | Novel Loci for metabolic networks and multi-tissue expression studies reveal genes for atherosclerosis.
Krumsiek et al., 2012 | DOI:10.1371/journal.pgen.1003005 | Mining the unknown: a systems approach to metabolite identification combining genetic and metabolic information.
Montoliu et al., 2013 | DOI:10.1007/s12263-012-0313-7 | Current status on genome-metabolome-wide associations: an opportunity in nutrition research.
Raffler et al., 2013 | DOI:10.1186/gm417 | Identification and MS-assisted interpretation of genetically influenced NMR signals in human plasma.
Wu et al., 2013 | DOI:10.1161/circgenetics.112.964619 | Genome-wide association study identifies novel loci associated with concentrations of four plasma phospholipid fatty acids in the de novo lipogenesis pathway: results from the Cohorts for Heart and Aging Research in Genomic Epidemiology (CHARGE) consortium.
Hong et al., 2013 | DOI:10.1002/humu.22267 | A genome-wide assessment of variability in human serum metabolism.
Rhee et al., 2013 | DOI:10.1016/j.cmet.2013.06.013 | A genome-wide association study of the human metabolome in a community-based cohort.
Rueedi et al., 2014 | DOI:10.1371/journal.pgen.1004132 | Genome-wide association study of metabolic traits reveals novel gene-metabolite-disease links.
Yu et al., 2014 | DOI:10.1371/journal.pgen.1004212 | Genetic determinants influencing human serum metabolome among African Americans.
Shin et al., 2014 | DOI:10.1038/ng.2982 | An atlas of genetic influences on human blood metabolites.
Ried et al., 2014 | DOI:10.1093/hmg/ddu301 | Novel genetic associations with serum level metabolites identified by phenotype set enrichment analyses.
Demirkan et al., 2015 | DOI:10.1371/journal.pgen.1004835 | Insight in genome-wide association of metabolite quantitative traits by exome sequence analyses.
Draisma et al., 2015 | DOI:10.1038/ncomms8208 | Genome-wide association study identifies novel genetic variants contributing to variation in blood metabolite levels.
Mozaffarian et al., 2015 | DOI:10.3945/ajcn.114.094557 | Genetic loci associated with circulating phospholipid trans fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.
Raffler et al., 2015 | DOI:10.1371/journal.pgen.1005487 | Genome-Wide Association Study with Targeted and Non-targeted NMR Metabolomics Identifies 15 Novel Loci of Urinary Human Metabolic Individuality.
Burkhardt et al., 2015 | DOI:10.1371/journal.pgen.1005510 | Integration of Genome-Wide SNP Data and Gene-Expression Profiles Reveals Six Novel Loci and Regulatory Mechanisms for Amino Acids and Acylcarnitines in Whole Blood.
Kraus et al., 2015 | DOI:10.1371/journal.pgen.1005553 | Metabolomic Quantitative Trait Loci (mQTL) Mapping Implicates the Ubiquitin Proteasome System in Cardiovascular Disease Pathogenesis.
