Plasma,970 lipid species and 267 fatty acid composite measures,MS (Metabolon Complex Lipids platform; BUME extraction + LC-MS),Rhineland Study (Germany); validation in FinnGen and EPIC-Potsdam,1237 (970 lipid species + 267 FA composites),"6,096 (discovery); 7,266 (FinnGen validation); 1,188 (EPIC-Potsdam validation)",217 lead genomic loci (136 novel),"<a href='https://doi.org/10.1038/s41467-026-72542-1'>Landstra et al., Nat Commun 2026</a>"
?,171 directly quantifiable metabolites (NMR-based),NMR,Han Chinese individuals; cross-ancestry meta-analysis with European population,171,"10,792 (discovery), 4,480 (replication Chinese)",?,"<a href='https://doi.org/10.1016/j.xgen.2025.100810'>Lin et al., Cell Genom 2025</a>"
Plasma,249 metabolic measures and 64 ratios (NMR-based),NMR,"254,825 participants (population not further specified in abstract)",313,"254,825",427,"<a href='https://doi.org/10.1038/s41467-025-62126-w'>Qiang et al., Nat Commun 2025</a>"
Blood,248 blood metabolic biomarkers (NMR spectroscopy),NMR,Japanese individuals (East Asian); cross-ancestry meta-analysis,248,"37,969",?,"<a href='https://doi.org/10.64898/2025.12.03.25341540'>Takeuchi et al., PPR 2025</a>"
Plasma,81 fatty acids and oxylipins,MS (lipidomics),"Hispanic Community Health Study/Study of Latinos (HCHS/SOL), 58.6% female, mean age 46.1 years",81,"11,584",?,"<a href='https://doi.org/10.1016/j.xhgg.2024.100390'>Downie et al., HGG Adv 2025</a>"
Plasma,"19 circulating fatty acid traits (polyunsaturated, monounsaturated, saturated)","NMR (Nightingale, UK Biobank)",UK Biobank European ancestry (primary) plus five other ancestries,19,"239,268 (European ancestry discovery); 508–4,663 (other ancestries)","215 (PUFA-related), 163 (MUFA-related), 119 (SFA-related) independent loci in European participants","<a href='https://doi.org/10.1016/j.xhgg.2025.100470'>Sun et al., HGG Adv 2025</a>"
Plasma,"1,135 circulating metabolites (selected from 1,729 harmonized)",MS (Metabolon),NHLBI TOPMed Program; ancestrally diverse (multi-ethnic) cohorts,1135,"16,359 (GWAS); 25,058 (harmonized catalog)","1,775 independent loci associated with 667 metabolites","<a href='https://doi.org/10.1016/j.ajhg.2025.08.022'>Wang et al., Am J Hum Genet 2025</a>"
Plasma,249 circulating plasma metabolic markers (Nightingale NMR panel),NMR (Nightingale),White British UK Biobank participants; replication in UK Biobank,249,"207,836 (discovery), 27,509 (replication)",?,"<a href='https://doi.org/10.1101/2024.07.30.24311254'>van der Meer et al., medRxiv 2024</a>"
Plasma,846 plasma metabolites,?,Han Chinese individuals,846,495,?,"<a href='https://doi.org/10.7555/jbr.39.20250530'>Cai et al., J Biomed Res 2026</a>"
Urine,"14 unique urinary metabolites (alanine, 3-aminoisobutyrate, betaine, creatine, creatinine, formate, glycine, glycolate, histidine, 2-hydroxybutyrate, lysine, threonine, trimethylamine, tyrosine)",Various (meta-analysis of existing GWAS; primarily NMR-based studies),"Meta-analysis of multiple cohorts (max N=5,319 for glycine)",14,"Up to 5,319 (varies by metabolite)","48 independent lead SNPs across 14 metabolites; 4 novel (1 novel locus for tyrosine, 3 newly associated SNPs in known loci)","<a href='https://doi.org/10.1038/s41598-025-07518-0'>Zaki et al., Sci Rep 2025</a>"
Plasma,6881 small molecule metabolites,?,229 older adults with clinical AD and 322 age-matched healthy controls (USA),6881,551 (229 AD + 322 controls),?,"<a href='https://doi.org/10.1002/alz.70898'>Eissman et al., Alzheimers Dement 2025</a>"
Serum,2759 serum metabolites,?,Han Chinese individuals (discovery + independent Chinese cohort),2759,?,184,"<a href='https://doi.org/10.1016/j.xgen.2024.100743'>Cheng et al., Cell Genom 2025</a>"
Plasma,228 plasma lipoproteins and metabolites,"NMR (Nightingale, inferred)",Northern Finland Birth Cohort 1966 (NFBC 1966) and NFBC 1986 (Finnish),228,>9300,?,"<a href='https://doi.org/10.1038/s41598-025-94839-9'>De et al., Sci Rep 2025</a>"
Serum,"1,015 metabolites (Ex/GWAS)",?,"Amish (Old Order Amish), USA","1,015","5,981",149 functional variants assoc. with 519 metabolites,"<a href='https://doi.org/10.1101/2025.08.04.667775'>Jallow et al., bioRxiv 2025</a>"
Serum,untargeted and widely targeted serum metabolites and ratios,MS (untargeted and widely targeted; specific platform not named in abstract),Chinese participants (single cohort),?,1188,?,"<a href='https://doi.org/10.1002/mco2.70718'>Liu et al., MedComm 2026</a>"
