row_id,Biofluid,Metabolic_traits,Platform,Study_population,N_Traits,Cohort_size,N_Loci,Reference,Ref_URLs
1,Serum,Targeted MS,MS (Biocrates),German,363 + all ratios,284,4,"Gieger et al., 2008",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000282
2,Plasma and Serum,Sphingolipids,MS,European,33 + 43 ratios,"4,400",5,"Hicks et al., 2009",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000672
3,Serum,Mainly phospholipids,MS (Biocrates),"German, British","163 + 26,406 ratios","1,809 + 422",9,"Illig et al., 2010",https://www.nature.com/articles/ng.507
4,Urine,NMR-derived metabolites,NMR (Chenomx),German,"59 + 1,661 ratios",862 + 992,5,"Suhre et al., 2011",https://www.nature.com/articles/ng.837
5,Plasma,"n-3 PUFAs (ALA, EPA, DPA, and DHA)",Gas chromatography,European ancestry (CHARGE),4,"8,866",3,"Lemaitre et al., 2011",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002193
6,Serum,"Non-targeted MS, knowns",MS (Metabolon),"German, British",276 + 37 179 ratios,"1,768 + 1,052",37,"Suhre et al., 2011",https://www.nature.com/articles/nature10354
7,Urine and Plasma,"Urine: NMR peaks, plasma: mainly phospholipids",NMR + MS,British,Urine: 512 peaks plasma: 163 + ratios,211,3,"Nicholson et al., 2011",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002270
8,Serum,Mainly lipid traits,NMR (Brainshake),Finnish,117 + 99 ratios,"8,330",31,"Kettunen et al., 2012",https://www.nature.com/articles/ng.1073
9,Plasma,Phospholipids + sphingolipids,MS (Biocrates),European,153,"4,034",35,"Demirkan et al., 2012",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002490
10,Serum,Mainly lipid traits,NMR,Finnish,117 + 99 ratios,"8,330",30,"Tukiainen et al., 2012",https://academic.oup.com/hmg/article/21/6/1444/560782
11,Serum,Mainly lipid traits and low-weight metabolites,NMR (Brainshake),"Finnish, British",130,"1,905 + 4,703",34,"Inouye et al., 2012",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002907
12,Serum,"Non-targeted MS, unknowns",MS (Metabolon),German,517,"1,768",34,"Krumsiek et al., 2012",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003005
13,Urine,NMR peaks,NMR,Brazil,2425,265,2,"Montoliu et al., 2013",https://link.springer.com/article/10.1007%2Fs12263-012-0313-7
14,Plasma,NMR peaks,NMR,German,"8,600 + 124,750 ratios","1,757",7,"Raffler et al., 2013",https://genomemedicine.biomedcentral.com/articles/10.1186/gm417
15,Plasma,"Fatty acids 16:0, 16:1n-7, 18:0, and 18:1n-9",GC,5 European cohorts,4,"8,961",7,"Wu et al., 2013",https://www.ahajournals.org/doi/abs/10.1161/CIRCGENETICS.112.964619
16,Serum,MS peaks,MS,Swedish,"6,138",402 + 489,7,"Hong et al., 2013",https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.22267
17,Plasma,"Amino acids, amines, polar metabolites, lipids",MS,USA (European ancestry),217,"2,076",31,"Rhee et al., 2013",https://linkinghub.elsevier.com/retrieve/pii/S1550-4131(13)00257-X
18,Urine,NMR peaks,NMR,"European, Brazil","1,276",835 + 601,11,"Rueedi et al., 2014",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004132
19,Serum,"Non-targeted MS, knowns and unknowns",MS,African American,308,"1,260",19,"Yu et al., 2014",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004212
20,Serum,"Non-targeted MS, knowns and unknowns",MS (Metabolon),European,"486 + 98,346 ratios","7,824",145,"Shin et al., 2014",https://www.nature.com/articles/ng.2982
21,Serum,Targeted MS (mainly phospholipids) + non-targeted MS (knowns),MS (Metabolon & Biocrates),European,344 (151 + 193),"1,809 + 843",12 new,"Ried et al., 2014",https://academic.oup.com/hmg/article/23/21/5847/2901042
22,Serum,NMR-derived metabolites,NMR,European,42,"2,118",8,"Demirkan et al., 2015",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004835
23,Serum,Mainly phospholipids,MS (Biocrates),European,129,"7,478 + 1,182",31,"Draisma et al., 2015",https://www.nature.com/articles/ncomms8208
24,Blood,Circulating trans fatty acids,Diverse,"7 cohorts of European-ancestry, replication in 3 non-European cohorts",>5-7 (study dependent),"8,013 + (1,082 + 669 + 657)",1 (31 SNPs in FADS1/2 cluster),"Mozaffarian et al., 2015",https://academic.oup.com/ajcn/article/101/2/398/4494397
25,Urine,NMR-derived metabolites and NMR peaks,NMR,European,"15,379 features (incl. ratios)","3,861 + 1,691",26,"Raffler et al., 2015",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005487
26,Blood,Amino Acids and Acylcarnitines,MS,European,96,"2,107",16,"Burkhardt et al., 2015",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005510
27,Plasma,"FIA-MS derived, mainly acylcarnitines and amino acids",MS,US population,63,"1,490 + 2,022",6,"Kraus et al., 2015",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005553
28,RBC,Fatty acids in RBCs,GC,Framingham Heart Study,14,"2,633",5,"Tintle et al., 2015",https://www.sciencedirect.com/science/article/pii/S0952327814001987
29,Blood,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Brainshake),14 cohorts from Europe,123,"24,925",62,"Kettunen et al., 2016",https://www.nature.com/articles/ncomms11122
30,Plasma,Non-targeted MS,LC-MS,European-American,217,"2,076 + 1,528",4,"Rhee et al., 2016",https://www.nature.com/articles/ncomms12360
31,Plasma,Non-targeted MS focusing on carnitine pathways with whole genome sequencing,LC-MS,European-American,16,"1,456",2,"Yazdani et al., 2016",https://onlinelibrary.wiley.com/doi/full/10.1002/gepi.21980
32,Plasma,Non-targeted MS with exome sequencing,LC-MS (Metabolon),African-Americans,308,"1,361 + 508",4,"Yu et al., 2016",https://www.ncbi.nlm.nih.gov/pubmed/27602404
33,Plasma,Caffeine metabolites,UPLC- MS/MS or UPLC- ESI-MS/MS,six population-based studies of European ancestry,4 + 1 ratio,"9,876",4,"Cornelius et al., 2016",https://academic.oup.com/hmg/article/25/24/5472/2581117
34,Plasma + RBCs,"16:1n-7, 18:1n-7, 18:1n-9, 20:1n-9, 22:1n-9, 24:1n-9 fatty acids",gas chromatography or gas-liquid chromatography,Meta-analysis of Chinese and European ancestries,6,"3,521 + 12,020",10,"Hu et al., 2017",http://www.jlr.org/content/58/5/974.long
35,Plasma,Small peptide subset of the non-targeted Metabolon metabolomics platform,Metabolon HD4,European and African Americans (ARIC study),25,"1,552 + 1,872",22,"de Vries et al., 2017",https://academic.oup.com/hmg/article/26/17/3442/3953984
36,Plasma,Targeted and Non-targeted MS,Biocrates + Metabolon,TwinsUK study,160 + 488,"1,001 twins",7,"Yet et al., 2016",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153672
37,Plasma,Non-targeted MS,Metabolon HD4,TwinsUK study,644,"1,960 with three time points",101 (17 genes with potential LoF variants),"Long et al., 2017",https://www.nature.com/articles/ng.3809
38,Plasma,Non-targeted MS,Metabolon HD4,Qatari,826,614 (exome seq) + 382 (2.5 Omni array),21 common + 12 rare variants,"Yousri et al., 2018",https://www.nature.com/articles/s41467-017-01972-9
39,Plasma,Amino acids,NMR,non-diabetic Finnish men,9,"8,545",5 common + 2 rare/gene-based,"Teslovich et al., 2018",https://academic.oup.com/hmg/article/27/9/1664/4899080
40,Serum,Non-targeted MS,Lipid-related metabolites from Metabolon platform,ARIC,102,"1552 European-and 1872 African-Americans, using WES and WGS",7 novel lipid-related metabolite-genomic region associations,"Feofanova et al., Genetics, 2018",https://www.genetics.org/content/209/2/607
41,Plasma,"Amino acids, acylcarnitines, sphingolipids",MS,Singapore Chinese,162 + 70 ratios,"2,434",17,"Chai et al., ASHG 2018 abstract",https://eventpilot.us/web/page.php?nav=false&page=Session&project=ASHG18&id=20302107&plannersession=true
42,Plasma,Lipidomics,Lipotype platform,European,141 + 12 lipid classes,"2,045",35 lipidspecies- associated loci,"Tabassum et al., Nature Comms, 2019, preprint BioRxiv, 2018 (presented at ASHG 2018)",https://www.nature.com/articles/s41467-019-11954-8 ; https://www.biorxiv.org/content/early/2018/10/31/457960 ; https://eventpilot.us/web/page.php?nav=false&page=Session&project=ASHG18&id=10302103&plannersession=true
43,Plasma + serum,Glycine,Metabolon HD4 + Biocrates p180 + Nightingale,European,1,"80,003",27,"Wittemans et al., 2019",https://www.nature.com/articles/s41467-019-08936-1
44,Serum,Non-targeted MS,Metabolon HD4,Middle-aged individuals (45 to 64 years) from the ARIC study,122,"1,376","52 Loss of function variants (Exome sequencing, p<1E-6)","Yazdani et al., 2019",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-5772-4
45,NA,NA,NA,LIFE-Adult & LIFE-Heart studies,8 steroid hormones,"7,667",15 novel,"Pott et al., J Clin Endocrinol Metab. 2019",https://www.ncbi.nlm.nih.gov/pubmed/31169883
46,Plasma,"Plasma triglycerides, phospholipids",LC-MS,"Leiden Longevity Study, Netherlands Twin Register, Erasmus Rucphen Family (ERF) study",90 lipids,"5,537",34 replicated + 11 novel,"Demirkan et al., bioRxiv 2019",https://www.biorxiv.org/content/10.1101/621334v2
47,Serum,Non-targeted MS,Metabolon HD4,Elite athletes,751,490,"19 elite athlete mQTLs, 4 endurance mQTLs","Al-Khelaifi et al., Scientific Reports, 2019",https://www.nature.com/articles/s41598-019-56496-7
48,Urine,Non-targeted MS,Metabolon HD2/HD4,Patients with reduced kidney function,"1,172","1,627",240,"Schlosser et al., Nature Genetics, 2020",https://www.nature.com/articles/s41588-019-0567-8
49,Saliva,Non-targeted MS,Metabolon HD4,TwinsUK + SHIP,476,"1,419",14 metabolites at 11 loci,"Abhishek et al., Hum Mol Gen, 2020",https://doi.org/10.1093/hmg/ddz308
50,Serum,Non-targeted MS,Metabolon HD4,two cohorts (Israeli),"1,170",413,68,"Bar et al., Nature, 2020",https://www.nature.com/articles/s41586-020-2896-2
51,Serum,"PUFA, omega-3, omega-6, and LA and DHA",NMR,"PREDIMED Plus trial, Valencia, Spain",5,426,1 genome-wide sign. locus (FADS1 region),"Coltell et al., Nutrients 2020",https://www.mdpi.com/2072-6643/12/2/310
52,Serum,Non-targeted MS,Metabolon HD4,Hispanic (Hispanic Community Health Study/Study of Latinos participants),640,"3,926",46,"Feofanova et al., AJHG 2020",https://www.cell.com/ajhg/fulltext/S0002-9297(20)30323-2
53,Cerebrospinal fluid (CSF),Non-targeted MS,Metabolon HD4,WADRC and WRAP Alzheimer's studies,338,689,16,"Panyard et al., Nature Comms, 2021, previously bioRxiv 2020",https://www.nature.com/articles/s42003-020-01583-z ; https://www.biorxiv.org/content/10.1101/2020.02.14.948398v1
54,Plasma,Non-targeted MS,in-house LC-MS/MS platform for polar lipophilic metabolites,FINRISK02 + replication in Framingham Heart Study,"11,067 features","7,013 + 2,886","118 loci associated with 2,319 features","Qin et al., medRxiv 2020",https://www.medrxiv.org/content/10.1101/2020.08.01.20166413v1
55,Serum,Direct Infusion High-Resolution Mass Spectrometry (DIHRMS),in-house platform described here,Pakistan Risk of Myocardial Infarction Study (PROMIS) + British blood donors from the INTERVAL study,340 lipid metabolites in PROMIS + 399 in INTERVAL,"5,662 in PROMIS + 13,814 in INTERVAL",253 lipidQTLs at 24 independent loci in PROMIS + 502 lipid QTLs at 38 loci in INTERVAL,"Harshfield et al., BMC Medicine 2021, preprint on medRxiv 2020",https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-021-02087-1 ; https://www.medrxiv.org/content/10.1101/2020.10.16.20213520v1
56,?,?,?,TOPMed,?,?,Multi-Ethnic Whole-Genome Sequencing Analysis of Human Metabolome Identifies 93 Novel Genetic Loci,"Bing Yu et al., ASHG 2020",https://nhlbiwgs.org/abstract-viewer-public
57,Blood,Multi-platform,"Biocrates p180, Nightingale NMR, Metabolon HD4","Fenland, EPIC-Norfolk, INTERVAL",174,"86,507",499 associations at 144 loci,"Lotta et al., Nature Genetics, 2021, preprint bioRxiv, 2020",https://www.nature.com/articles/s41588-020-00751-5 ; https://www.biorxiv.org/content/10.1101/2020.02.03.932541v1
58,Plasma,N-acyl ethanolamine and ceramide plasma lipidome,Targeted Lipidomics using UPLC/ESI-MS/MS,"UK residents, families",9 N-acyl ethanolamine and 16 ceramide species,999 members of 196 British Caucasian families,~5,"McGurk et al., Human Mol Gen, 2021",https://academic.oup.com/hmg/article/30/6/500/6089115
59,Plasma,Non-targeted MS,not specified,Han Chinese,"161 + 12,280 ratios","1,028 + 523",13,"Wang et al., Clinical and Translational Medicine, 2021",https://onlinelibrary.wiley.com/doi/full/10.1002/ctm2.290
60,Urine,Non-targeted MS,Metabolon HD4,German Chronic Kidney Disease (GCKD) cohort,"1487 + 53,714 ratios","4,864 (4,795 for ratios)","420 associations (MAF<1%), 38 gene associations for rare variant tests (60 for ratios)","Cheng et al., Nature Communications, 2021",https://www.nature.com/articles/s41467-020-20877-8
61,Blood,Targeted & non-targeted MS (study also analyzed transciptomics & proteomics),Biocrates p150 & Metabolon HD2,DIRECT study,163 (Biocrates) + 223 (Metabolon),"3,029",301 independent metabolite-QTLs,"Vinuela et al., medRxiv 2021",https://www.medrxiv.org/content/10.1101/2021.03.26.21254347v1
62,Serum,Non-targeted MS,Metabolon HD4,African American Study of Kidney Disease and Hypertension,652,619,42,"Luo et al., Kidney Int., 2021",https://www.kidney-international.org/article/S0085-2538(21)00361-6/abstract
63,Urine,1H NMR,in-house,Caucasian,"1,276 features after QC",555,21,"Flitman et al., J. Proteome Res., 2021, preprint bioRxiv 2020",https://pubs.acs.org/doi/10.1021/acs.jproteome.1c00585 ; https://www.biorxiv.org/content/10.1101/2020.05.22.110197v1
64,Plasma,UPLC–QTOFMS,West Coast Metabolomics Center at University of California Davis,Old Order Amish founder population,355 lipid species,650,"five rare Amish enriched loci, three of which are novel, replicated 7 previously known common loci","Montasser et al., bioRxiv 2021",https://www.biorxiv.org/content/10.1101/2021.05.21.445208v1
65,"Plasma, mitochondrial DNA",Targeted MS,Biocrates p150,KORA study,151,"2,718",NA (mitochondrial DNA),"Aboulmaouahib et al. (Human Molecular Genetics, 2021)",https://doi.org/10.1093/hmg/ddab312
66,Plasma,Non-targeted MS,Metabolon HD4,NIHR BioResource (only individuals of full European ancestry),722 named metabolites,"8,809",74 novel,"Hysi et al. (Metabolites, 2022)",https://www.mdpi.com/2218-1989/12/1/61
67,"Plasma, before/after liquid meal","Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),"NEO study, Leiden, Netherlands",148,"up to 4,734",several QTLs with fasting-to-postprandial-state changes,"Li-Gao et al. (Diabetes, 2021)",https://doi.org/10.2337/db21-0397
