row_id,Year,Biofluid,Metabolic_traits,Platform,Study_population,N_Traits,Cohort_size,N_Loci,Reference,PMID,DOI,PubMed_url,DOI_url,orig_url,notes,flag
1,2008,Serum,Targeted MS,MS (Biocrates),German,363 + all ratios,284,4,"Gieger et al., 2008",19043545,10.1371/journal.pgen.1000282,https://pubmed.ncbi.nlm.nih.gov/19043545/,https://doi.org/10.1371/journal.pgen.1000282,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000282,,
2,2009,Plasma + Serum,Sphingolipids,MS,European,33 + 43 ratios,"4,400",5,"Hicks et al., 2009",19798445,10.1371/journal.pgen.1000672,https://pubmed.ncbi.nlm.nih.gov/19798445/,https://doi.org/10.1371/journal.pgen.1000672,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000672,biofluid orig: 'Plasma and Serum',
3,2010,Serum,Mainly phospholipids,MS (Biocrates),"German, British","163 + 26,406 ratios","1,809 + 422",9,"Illig et al., 2010",20037589,10.1038/ng.507,https://pubmed.ncbi.nlm.nih.gov/20037589/,https://doi.org/10.1038/ng.507,https://www.nature.com/articles/ng.507,,
4,2011,Urine,NMR-derived metabolites,NMR (Chenomx),German,"59 + 1,661 ratios",862 + 992,5,"Suhre et al., 2011",21572414,10.1038/ng.837,https://pubmed.ncbi.nlm.nih.gov/21572414/,https://doi.org/10.1038/ng.837,https://www.nature.com/articles/ng.837,,
5,2011,Plasma,"n-3 PUFAs (ALA, EPA, DPA, and DHA)",GC,European ancestry (CHARGE),4,"8,866",3,"Lemaitre et al., 2011",21829377,10.1371/journal.pgen.1002193,https://pubmed.ncbi.nlm.nih.gov/21829377/,https://doi.org/10.1371/journal.pgen.1002193,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002193,platform orig: 'Gas chromatography',
6,2011,Serum,"Non-targeted MS, knowns",MS (Metabolon),"German, British",276 + 37 179 ratios,"1,768 + 1,052",37,"Suhre et al., 2011",21886157,10.1038/nature10354,https://pubmed.ncbi.nlm.nih.gov/21886157/,https://doi.org/10.1038/nature10354,https://www.nature.com/articles/nature10354,,
7,2011,Urine + Plasma,"Urine: NMR peaks, plasma: mainly phospholipids",NMR + MS,British,Urine: 512 peaks plasma: 163 + ratios,211,3,"Nicholson et al., 2011",21931564,10.1371/journal.pgen.1002270,https://pubmed.ncbi.nlm.nih.gov/21931564/,https://doi.org/10.1371/journal.pgen.1002270,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002270,biofluid orig: 'Urine and Plasma',
8,2012,Serum,Mainly lipid traits,NMR (Nightingale),Finnish,117 + 99 ratios,"8,330",31,"Kettunen et al., 2012",22286219,10.1038/ng.1073,https://pubmed.ncbi.nlm.nih.gov/22286219/,https://doi.org/10.1038/ng.1073,https://www.nature.com/articles/ng.1073,platform orig: 'NMR (Brainshake)',
9,2012,Plasma,Phospholipids + sphingolipids,MS (Biocrates),European,153,"4,034",35,"Demirkan et al., 2012",22359512,10.1371/journal.pgen.1002490,https://pubmed.ncbi.nlm.nih.gov/22359512/,https://doi.org/10.1371/journal.pgen.1002490,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002490,,
10,2012,Serum,Mainly lipid traits,NMR,Finnish,117 + 99 ratios,"8,330",30,"Tukiainen et al., 2012",,,,,https://academic.oup.com/hmg/article/21/6/1444/560782,PMID unresolved; DOI unresolved,review
