row_id,Reference,orig_url,method,DOI,PMID,epmc_source,resolved_title,resolved_journal,resolved_year,status
1,"Gieger et al., 2008",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000282,doi,10.1371/journal.pgen.1000282,19043545,MED,Genetics meets metabolomics: a genome-wide association study of metabolite profiles in human serum.,PLoS Genet,2008,resolved
2,"Hicks et al., 2009",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000672,doi,10.1371/journal.pgen.1000672,19798445,MED,Genetic determinants of circulating sphingolipid concentrations in European populations.,PLoS Genet,2009,resolved
3,"Illig et al., 2010",https://www.nature.com/articles/ng.507,doi,10.1038/ng.507,20037589,MED,A genome-wide perspective of genetic variation in human metabolism.,Nat Genet,2010,resolved
4,"Suhre et al., 2011",https://www.nature.com/articles/ng.837,doi,10.1038/ng.837,21572414,MED,A genome-wide association study of metabolic traits in human urine.,Nat Genet,2011,resolved
5,"Lemaitre et al., 2011",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002193,doi,10.1371/journal.pgen.1002193,21829377,MED,Genetic loci associated with plasma phospholipid n-3 fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.,PLoS Genet,2011,resolved
6,"Suhre et al., 2011",https://www.nature.com/articles/nature10354,doi,10.1038/nature10354,21886157,MED,Human metabolic individuality in biomedical and pharmaceutical research.,Nature,2011,resolved
7,"Nicholson et al., 2011",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002270,doi,10.1371/journal.pgen.1002270,21931564,MED,A genome-wide metabolic QTL analysis in Europeans implicates two loci shaped by recent positive selection.,PLoS Genet,2011,resolved
8,"Kettunen et al., 2012",https://www.nature.com/articles/ng.1073,doi,10.1038/ng.1073,22286219,MED,Genome-wide association study identifies multiple loci influencing human serum metabolite levels.,Nat Genet,2012,resolved
9,"Demirkan et al., 2012",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002490,doi,10.1371/journal.pgen.1002490,22359512,MED,Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.,PLoS Genet,2012,resolved
10,"Tukiainen et al., 2012",https://academic.oup.com/hmg/article/21/6/1444/560782,manual-flag,,,,,,2012,needs-manual
11,"Inouye et al., 2012",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002907,doi,10.1371/journal.pgen.1002907,22916037,MED,Novel Loci for metabolic networks and multi-tissue expression studies reveal genes for atherosclerosis.,PLoS Genet,2012,resolved
12,"Krumsiek et al., 2012",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003005,doi,10.1371/journal.pgen.1003005,23093944,MED,Mining the unknown: a systems approach to metabolite identification combining genetic and metabolic information.,PLoS Genet,2012,resolved
13,"Montoliu et al., 2013",https://link.springer.com/article/10.1007%2Fs12263-012-0313-7,doi,10.1007/s12263-012-0313-7,23065485,MED,Current status on genome-metabolome-wide associations: an opportunity in nutrition research.,Genes Nutr,2013,resolved
14,"Raffler et al., 2013",https://genomemedicine.biomedcentral.com/articles/10.1186/gm417,doi,10.1186/gm417,23414815,MED,Identification and MS-assisted interpretation of genetically influenced NMR signals in human plasma.,Genome Med,2013,resolved
15,"Wu et al., 2013",https://www.ahajournals.org/doi/abs/10.1161/CIRCGENETICS.112.964619,doi,10.1161/circgenetics.112.964619,23362303,MED,Genome-wide association study identifies novel loci associated with concentrations of four plasma phospholipid fatty acids in the de novo lipogenesis pathway: results from the Cohorts for Heart and Aging Research in Genomic Epidemiology (CHARGE) consortium.,Circ Cardiovasc Genet,2013,resolved
16,"Hong et al., 2013",https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.22267,doi,10.1002/humu.22267,23281178,MED,A genome-wide assessment of variability in human serum metabolism.,Hum Mutat,2013,resolved
17,"Rhee et al., 2013",https://linkinghub.elsevier.com/retrieve/pii/S1550-4131(13)00257-X,epmc-authyear,10.1016/j.cmet.2013.06.013,23823483,MED,A genome-wide association study of the human metabolome in a community-based cohort.,Cell Metab,2013,resolved-fallback
18,"Rueedi et al., 2014",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004132,doi,10.1371/journal.pgen.1004132,24586186,MED,Genome-wide association study of metabolic traits reveals novel gene-metabolite-disease links.,PLoS Genet,2014,resolved
19,"Yu et al., 2014",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004212,doi,10.1371/journal.pgen.1004212,24625756,MED,Genetic determinants influencing human serum metabolome among African Americans.,PLoS Genet,2014,resolved
20,"Shin et al., 2014",https://www.nature.com/articles/ng.2982,doi,10.1038/ng.2982,24816252,MED,An atlas of genetic influences on human blood metabolites.,Nat Genet,2014,resolved
21,"Ried et al., 2014",https://academic.oup.com/hmg/article/23/21/5847/2901042,epmc-authyear,10.1093/hmg/ddu301,24927737,MED,Novel genetic associations with serum level metabolites identified by phenotype set enrichment analyses.,Hum Mol Genet,2014,resolved-fallback
22,"Demirkan et al., 2015",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004835,doi,10.1371/journal.pgen.1004835,25569235,MED,Insight in genome-wide association of metabolite quantitative traits by exome sequence analyses.,PLoS Genet,2015,resolved
23,"Draisma et al., 2015",https://www.nature.com/articles/ncomms8208,doi,10.1038/ncomms8208,26068415,MED,Genome-wide association study identifies novel genetic variants contributing to variation in blood metabolite levels.,Nat Commun,2015,resolved
24,"Mozaffarian et al., 2015",https://academic.oup.com/ajcn/article/101/2/398/4494397,epmc-authyear,10.3945/ajcn.114.094557,25646338,MED,Genetic loci associated with circulating phospholipid trans fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.,Am J Clin Nutr,2015,resolved-fallback
