<a href='https://doi.org/10.1038/s41588-025-02421-w'>Soremekun et al. (Nat Genet 2026)</a>,525,Ugandan population (continental African ancestry); T2D/prediabetes + normoglycemic controls,2873,"399 independent associations (346 cis, 53 trans)","SomaScan (2,873 proteins)"
<a href='https://doi.org/10.64898/2026.03.17.712047'>Bjarnadottir et al. (bioRxiv 2026)</a>,5291,"Icelanders (deCODE), N=5,291",7596,"independent cis-pQTLs for 2,166 SOMAmers","SomaScan (7,596 proteins / SOMAmers)"
<a href='https://doi.org/10.1186/s13059-025-03671-x'>Cai et al. (Genome Biol 2025)</a>,2797 (1033 AA + 1764 NHW),"Women's Health Initiative + Framingham Heart Study (1033 African American, 1764 non-Hispanic White); replication in Jackson Heart Study (534 AA)",1245,"5103 pQTLs (4496 cis, 602 trans)",Olink
<a href='https://doi.org/10.1016/j.ajhg.2025.10.013'>Stinson et al. (Am J Hum Genet 2025)</a>,3707,"3,707 Greenlandic Inuit (isolated Arctic population)",177,"251 primary (235 additive + 16 recessive) + 48 secondary (85 cis, 144 trans)",Olink Target 96 (Inflammation + Cardiovascular II)
<a href='https://doi.org/10.1038/s41588-025-02413-w'>Suhre et al. (Nat Genet 2025)</a>,,Two cohorts (blood plasma),,,Proteograph (Seer) nanoparticle enrichment MS
<a href='https://doi.org/10.1038/s41467-025-56935-2'>Wang et al. (Nat Commun 2025)</a>,3976,3976 Chinese adults (China Kadoorie Biobank),2168,765 Olink + 513 SomaScan proteins with cis-pQTLs,Olink Explore + SomaScan
<a href='https://doi.org/10.1038/s41467-025-62463-w'>Yang et al. (Nat Commun 2025)</a>,>2700 (>2300 EUR + >400 AFR),>2300 European + >400 African ancestry,,3802 (954 AFR + 2848 EUR pQTLs),Other
<a href='https://doi.org/10.1038/s41588-025-02291-2'>Wingo et al. (Nat Genet 2025)</a>,1362,"1,362 brain donors (African American, Hispanic/Latin American, non-Hispanic white)",,858 multiancestry causal pQTLs (fine-mapped),Mass spec (brain proteomics)
<a href='https://doi.org/10.1101/2025.08.12.25333522'>Pietzner et al. (medRxiv 2025)</a>,1400,"British-Bangladeshi & British-Pakistani (Genes & Health), >1,400 individuals",8067 protein groups (MS),>1200 variant-protein associations,"Proteograph XT (Seer) nanoparticle MS (also SomaLogic 11k, Olink HT in same samples)"
<a href='https://doi.org/10.1101/2025.06.30.662294'>Hartley et al. (bioRxiv 2025)</a>,284,"STARNET (n=284, predominantly male CAD patients)",~3000 (Olink Explore 3.2k),608 cis-pQTLs (13 tissue-exclusive),Olink Explore 3072 (3.2k)
<a href='https://doi.org/10.1101/2025.03.18.25324169'>Thielemann et al. (medRxiv 2025)</a>,3853,"HOLBAEK Study, Danish children & adolescents",178,1328 independent genome-wide significant associations,Affinity-based proteomics (178 proteins)
<a href='https://doi.org/10.1101/2025.09.21.25336297'>Wingo et al. (medRxiv 2025)</a>,1005,1005 participants (incl. ADNI; ancestry NR),2961,"1547 pQTLs (1417 cis, 130 trans)",Mass spectrometry
<a href='https://doi.org/10.1101/2025.01.22.25320723'>Bankier et al. (medRxiv 2025)</a>,532,532 CAD patients (STARNET study),974,144 plasma cis-pQTLs (colocalizing with tissue eQTLs),Other
<a href='https://doi.org/10.21203/rs.3.rs-5968391/v1'>Raffield et al. (Research Square 2025)</a>,1930,"1930 participants (European, African, East Asian, Admixed American ancestry)",2157,,SomaScan 7k + Olink Explore 3072
<a href='https://doi.org/10.1101/2025.02.11.25322052'>Bouland et al. (medRxiv 2025)</a>,190,"190 brain samples (88 AD, 53 non-demented, 49 centenarians)",227,8081 variants associated with 227 proteins,Brain proteomics (Gyrus Temporalis Medius)
<a href='https://doi.org/10.1038/s41467-024-45233-y'>Suhre et al. (Nat Commun 2024)</a>,>320,Multi-ethnic cohort (QMDiab),"~3000 proteins / >18,000 peptides",184 protein-altering variant associations in 137 genes,Proteograph (Seer) bottom-up LC-MS/MS
<a href='https://doi.org/10.1038/s41588-024-01896-3'>Wang et al. (Nat Genet 2024)</a>,2932 plasma samples,"Japan COVID-19 Task Force (JCTF), Japanese",,582 pQTLs,Other
<a href='https://doi.org/10.1172/jci181802'>Tahir et al. (J Clin Invest 2024)</a>,1054,Jackson Heart Study (Black/African American adults); validation in MESA (multi-ethnic),~3000,1002 pQTLs for 925 protein assays,Olink (~3000 proteins)
<a href='https://doi.org/10.1038/s41380-024-02576-8'>Luo et al. (Mol Psychiatry 2024)</a>,268,"Human brain, 268 subjects",11608,788 cis-pQTL (883 proteins),11-plex TMT 2D-LC-MS/MS
<a href='https://doi.org/10.1186/s12864-024-10065-z'>Boahen et al. (BMC Genomics 2024)</a>,,Two Dutch/European population-based cohorts,"NR (Olink inflammatory panel, ~92)",,Olink Inflammation panel
<a href='https://doi.org/10.1124/dmd.123.001548'>Smith et al. (Drug Metab Dispos 2024)</a>,,"Individual human livers, multi-ethnic (Illumina MEGA genotyping)",1 (CYP2D6 targeted readout),44 genome-wide-significant SNPs; 5 independent after conditioning,DIA-based proteomics (LC-MS/MS)
<a href='https://doi.org/10.1101/2024.09.27.24314500'>Sarnowski et al. (medRxiv 2024)</a>,9455,Atherosclerosis Risk in Communities (ARIC); European + African (19.8%) ancestry,4651,"1408 proteins with pQTL (AFR), 2565 proteins with pQTL (EUR)",SomaScan (aptamer; 4651 proteins)
<a href='https://doi.org/10.21203/rs.3.rs-7213009/v1'>Dimas et al. (Research Square 2025)</a>,200 (+211 controls),"Healthy individuals alternating omnivory/dietary restriction (N=200) + omnivorous controls (N=211), Greek",,"diet-responsive cis-pQTLs (LBR, MSRA, FGF21)",Other
<a href='https://doi.org/10.1093/brain/awae090'>Reus et al. (Brain 2024)</a>,502 (discovery),"Mixed memory-clinic cohort (n=502; AD/DLB/FTD/controls), European",665,"~5 pQTLs (CR1-CR2, ZCWPW1-PILRB, CTSH, HESX1-RETN, TREM2-IL6)",Olink PEA (proximity extension)
<a href='https://doi.org/10.1016/j.jacc.2023.09.804'>Mazidi et al. (J Am Coll Cardiol 2023)</a>,~3972 (1971 IHD cases + 2001 subcohort),China Kadoorie Biobank (Chinese),1463,212 proteins with cis-pQTL in CKB,Olink Explore (1463 proteins)
<a href='https://doi.org/10.1126/scitranslmed.adz2016'>Western et al. (Sci Transl Med 2026)</a>,,"Knight ADRC / neurological cohorts, European",,~5000 CSF+plasma pQTLs,Other
<a href='https://doi.org/10.1016/j.cell.2026.03.049'>Koprulu et al. (Cell 2026)</a>,78664,"78,664 participants across 38 studies",1116,">24000 (5040 cis, 19698 trans)",Multi-cohort (Olink/affinity across 38 studies)
<a href='https://doi.org/10.1021/acs.jproteome.5c00887'>Stephan et al. (J Proteome Res 2026)</a>,,"German, Arab-Asian and Qatari cohorts (3 independent)",,,Aptamer-based affinity proteomics (SomaScan)
<a href='https://doi.org/10.1016/j.xhgg.2025.100529'>Cruz et al. (HGG Adv 2026)</a>,1989,"Jackson Heart Study (African American), N=1,989; replication MESA (N=196)",,62 proteins associated with local African ancestry (21 independent of known GWAS variants),Aptamer/SomaScan (circulating proteome)
<a href='https://doi.org/10.3390/ijms27031574'>Maya et al. (Int J Mol Sci 2026)</a>,171,"General-population sample, 50 ME/CFS + 121 non-fatigued",NR (complement pathway proteins),,Other
<a href='https://doi.org/10.1038/s41586-025-10087-x'>Zou et al. (Nature 2026)</a>,"NR (subset with proteomics, ~UKB-PPP)","470,727 UK Biobank whole-genome sequences (multiancestry)",2941,CNV cis- and trans-pQTLs (count NR),Olink (UK Biobank Pharma Proteomics Project)
<a href='https://doi.org/10.1038/s41467-025-59034-4'>Koprulu et al. (Nat Commun 2025)</a>,56365,"Two cohorts (UK Biobank-PPP + Fenland), 30,307 females + 26,058 males",>5800,103 sex-differential pQTLs,Olink (antibody) + SomaScan (aptamer)
