row_id,Reference,N_samples,Study_population,N_proteins,N_pQTL_raw,Platform_raw,Ref_URLs
1,"Melzer et al. (PLoS Genet, 2008)",1200,Population study,42,8,Immuno-assay,https://www.ncbi.nlm.nih.gov/pubmed/18464913
2,"Lourdusamy et al. (Hum Mol Genet, 2012)",96,Elderly Europeans,778,60,Aptamer-based (SOMAscan v1),https://www.ncbi.nlm.nih.gov/pubmed/22595970
3,"Johansson et al. (PNAS, 2013)",1060,Two population cohorts,163,5,Mass-spectrometry,https://www.ncbi.nlm.nih.gov/pubmed/23487758
4,"Kim et al. (PLoS One, 2013)",521,Altzheimer's disease cohort,132,28,Immuno-assay,https://www.ncbi.nlm.nih.gov/pubmed/23894628
5,"Orru et al. (Cell, 2013)",1629,Individuals from four clustered Sardinian villages,272,23,Immune traits (not really proteomics),https://www.cell.com/cell/fulltext/S0092-8674(13)01072-6
6,"Stark et al. (PLoS Genetics, 2014)",68,Yoruba HapMap lymphoblastoid cell lines,441,NA,Micro-western and reverse phase protein arrays,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004192
7,"Enroth et al. (Nature Comm, 2014)",970,Population study,77,18,Immuno-assay,https://www.ncbi.nlm.nih.gov/pubmed/25147954
8,"Kauve et al., (PLoS Genet., 2014)",574,CSF fluid from two Altzheimer's disease cohorts,59,5,Immuno-assay for proteins relevant to Altzheimer's disease,https://www.ncbi.nlm.nih.gov/pubmed/25340798
9,"Liu et al. (Mol Syst Biol, 2015)",113,Female twins,342,18,Mass-spectrometry,https://www.ncbi.nlm.nih.gov/pubmed/25652787
10,"Sun et al. (PLOS Genetics, 2016)",1340,Current and former smokers with and without COPD (SPIROMICS & COPDGene ),88,527,Multiplex immuno assays (Myriad-RBM),https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006011
11,"Deming et al. (Sci Rep, 2016)",818,Alzheimer cohort,146,56,Immuno-assay,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4698720/
12,"Solomon et al. (Circ Cardiovasc Genet, 2016)",330,Population study,51,27,Immuno-assay for proteins implicated in cardiovascular diseases,https://www.ncbi.nlm.nih.gov/pubmed/27329291
13,"Ahola-Olli et al. (Am J Hum Genet, 2017)",8293,Population study,48,27,Immuno-assay for cytokines and growth factors,https://www.ncbi.nlm.nih.gov/pubmed/27989323
14,"Di Narzo et al. (PLoS Genet, 2017)",187,Inflammatory bowel disease (IBD) patients,1128,41,Aptamer-based (SOMAscan 1.1k),https://www.ncbi.nlm.nih.gov/pubmed/28129359
15,"Suhre et al. (Nature Comm, 2017)",1335,KORA and QMDiab study (Germany and Qatar),1124,539,Aptamer-based (SOMAscan 1.1k),https://www.nature.com/articles/ncomms14357
16,"Sasayama et al. (Hum Mol Genet, 2017)",133,CSF fluid from a Japanese population,1126,476,Aptamer-based (SOMAscan 1.1k),https://www.ncbi.nlm.nih.gov/pubmed/28031287
17,"Folkersen et al. (PLoS Genet., 2017)",3394,Population study,83,79,Immuno-assay for proteins implicated in cardiovascular diseases,https://www.ncbi.nlm.nih.gov/pubmed/28369058
18,"de Vries et al. (Hum. Mol. Genet., 2017)",3424,"1,552 European Americans and 1,872 African Americans (ARIC study)",25,22,Mass-spectrometry (small peptide subset of the non-targeted Metabolon metabolomics platform),https://academic.oup.com/hmg/article/26/17/3442/3953984
19,"Ahsan et al. (PLoS Genet., 2017)",1033,Population study,121,45,Antibody-based proximity extension assay,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007005
20,"Carayol et al. (Nature Comm, 2017)",494,Obese subjects,1129,55,Aptamer-based (SOMAscan 1.1k),https://www.nature.com/articles/s41467-017-02182-z
21,"Benson et al. (Circulation, 2017)",2180,Framingham Heart Study and Malmö Diet and Cancer Study,1129,161,"Aptamer-based, array based genotyping and exome seq",https://doi.org/10.1161/CIRCULATIONAHA.117.029536
22,"Patin et al. (Nature Immunology, 2018)",1000,"unrelated, Western European ancestry, Milieu Intérieur cohort",87,36,"Mean fluorescence intensity (MFI), cell surface marker (not really proteomics)",https://www.nature.com/articles/s41590-018-0049-7
23,"Sun et al. (Nature, 2018); pre-print on bioRxiv",3301,Interval study (UK blood donors),2994,1927,Aptamer-based (SOMAscan in-house),https://www.nature.com/articles/s41586-018-0175-2 ; http://biorxiv.org/content/early/2017/05/05/134551
24,"Emilsson et al. (Science, 2018)",5457,AGES Reykjavik study (Islanders over 65),4137,3134,Aptamer-based (SOMAscan in-house),http://science.sciencemag.org/content/early/2018/08/01/science.aaq1327
25,"Yao et al. (Nature Comm, 2018); pre-print on bioRxiv",6861,Framingham Heart Study,71,105,"Immuno-assay for proteins implicated in cardiovascular diseases, replication aptamer-based",https://www.nature.com/articles/s41467-018-05512-x ; http://biorxiv.org/content/early/2017/05/12/136523
26,"Sliz et al. (J. Med. Genet., 2019), pre-print on bioRxiv",5284,"Northern Finland Birth Cohort 1966 + meta-analysis in N=13,577",16,16,"Immuno-assay (Luminex / Milliplex, targeting chemokines & cytokines)",https://jmg.bmj.com/content/early/2019/06/19/jmedgenet-2018-105965 ; https://www.biorxiv.org/content/early/2018/12/10/491852
27,"Mirauta et al. (eLife, 2020), preprint on BioRxiv, 2018",202,Human induced pluripotent stem cell lines (iPSC),NA,712,Tandem Mass Tag Mass Spectrometry (TMT-MS),https://elifesciences.org/articles/57390 ; https://www.biorxiv.org/content/10.1101/439216v1
28,Zhernakova et al. (Nature Gen. 2018),1264,LifeLines Dutch population cohort,92,214,Immuno-assay (Olink CVD II panel),https://www.nature.com/articles/s41588-018-0224-7
29,"Solomon et al. (Circulation: Genomic and Precision Medicine, 2018)",165,Tromsø Study,664,60,"Tandem mass tag mass spectrometry, with whole-exome sequencing",https://www.ahajournals.org/doi/10.1161/CIRCGEN.118.002170
30,"Zheng et al. (Nature Genetics, 2020), preprint on BioRxiv, 2019",NA,"A Mendelian Randomization study based on pGWAS (somewhat out of scope for this table, but VERY interesting)",1002,NA,Proteome PheWAS browser,https://www.nature.com/articles/s41588-020-0682-6 ; https://www.biorxiv.org/content/10.1101/627398v1
31,"Hillary et al. (Nat. Comm., 2019)",750,Lothian Birth Cohort 1936,92,41,Immuno-assay (Olink neurology panel),https://www.nature.com/articles/s41467-019-11177-x
32,Peters et al. (ASHG 2019 abstract),15335,SCALLOP consortium,92,"at least one pQTL for 71 out of 91 proteins; 12 had cis pQTLs only, 14 trans only, and 45 both cis and trans",Immuno-assay (Olink INF panel),https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=40310098
33,Wilson et al. (ASHG 2019 abstract),19578,SCALLOP consortium,184,"22,518 genome-wide significant SNPs",Immuno-assay (Olink CVD II & III panels),https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=112002
34,Klaric et al. (ASHG 2019 abstract),1059,genetically isolated ORCADES cohort (Scotland),1102,"3,545 pQTLs between 374 proteins and 968 genes mapping to 377 genomic regions",Immuno-assay (multiple Olink panels),https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=30308133
35,"Robins et al. (AJHG 2021), preprint on bioRxiv, 2019",330,Dorsolateral prefrontal cortex (DLPFC) tissue from ROSMAP,7376,"8,451 independent proximal brain pQTLs for 2,474 genes",Tandem mass tag (TMT) proteomics of brain tissue; uses Whole Genome Sequencing,https://www.cell.com/ajhg/fulltext/S0002-9297(21)00012-4 ; https://www.biorxiv.org/content/10.1101/816652v2
36,"Höglund et al. (Scientific Rep., 2019)",1005,Northern Swedish population health study (NSPHS),72,18 novel,Immuno-assay (from Olink panels Oncology I and CVD I); uses Whole Genome Sequencing,https://www.nature.com/articles/s41598-019-53111-7
37,Nath et al. (AJHG 2019),9267,three population-based cohorts,18,8 loci,Cytokines using multiplex fluorescent bead-based immunoassays (Bio-Rad),https://www.cell.com/ajhg/fulltext/S0002-9297(19)30389-1
38,"Folkersen et al. (Nature Metabolism, 2020), preprint on bioRxiv, 2020","30,931","SCALLOP consortium, incl. 13 studies",90,451 pQTLs for 85 proteins,Immuno-assay (Olink CVD-I panel),https://www.nature.com/articles/s42255-020-00287-2 ; https://www.biorxiv.org/content/10.1101/2020.04.03.023804v1
39,"Sjaarda et al. (AJHG, 2020)",2216,"Latin Americans, ORIGIN study",237,"46 regions (not a GWAS, uses admixture mapping)","Cardiometabolic biomarkers, Luminex 100/200 immunoassay platform",https://www.cell.com/ajhg/fulltext/S0002-9297(20)30016-1
40,"Gilly et al. (Nat. Comm. 2020), preprint on bioRxiv",1328,Hellenic Isolated Cohorts MANOLIS study,257,131,"Immuno-assay (Olink CVD-II, CVD-III, and MET panels), uses Whole Genome Sequencing",https://www.nature.com/articles/s41467-020-20079-2 ; https://www.biorxiv.org/content/10.1101/854752v3
41,"Emilson et al. (Nat. Comm. 2022), preprint bioRxiv 2020",5343,AGES Reykjavik study (Islanders over 65),4782,5451,Aptamer-based (SOMAscan in-house),https://www.nature.com/articles/s41467-022-28081-6 ; https://www.biorxiv.org/content/10.1101/2020.05.06.080440v3
42,"Zhong et al. (BMC Genome Med, 2020)",101,Longitudinal wellness cohort from Sweden,794,144 pQTLs across 107 proteins,Immuno-assay (11 Olink panels),https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00755-0
43,Dodig-Crnkovic et al. (EBioMedicine 2020),"2,592 twins","Swedish Twin Registry (STR), participants born between 1911-1958",734,15 cis-pQTLs,Antibodies in suspension bead arrays,https://www.sciencedirect.com/science/article/pii/S2352396420302292
44,"Hillary et al. (Genome Medicine 2020), pre-print on BioRxiv",876,Lothian Birth Cohort 1936,70,13,Immuno-assay (Olink inflammation panel),https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00754-1 ; https://www.biorxiv.org/content/10.1101/2020.02.17.952135v1
45,"Ruffieu et al. (PLoS Comp Bio 2020), pre-print on bioRxiv",2433,Optifast Canadian cohort & DiOGenes cohort,1230,136,MS proteomics (130 proteins) and Aptamer-based (1100 proteins),https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007882 ; https://www.biorxiv.org/content/10.1101/524405v2
46,"Bretherick et al. (PLoS Genetics, 2020)",up to 1992,Isolated populations from the islands of Orkney (Scotland) and Vis (Croatia),249,154,"Immuno-assay (Olink CVD2, CVD3, and INF panels)",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008785
47,"Pietzner et al. (Nature Comm, 2021), preprint on bioRxiv","10,708",Fenland study (UK),"4,775 proteins evaluated by 4,979 aptamers",220 cis-pQTLs for 97 proteins,Aptamer-based (Somalogic V4 platform),https://www.nature.com/articles/s41467-020-19996-z ; https://www.biorxiv.org/content/10.1101/2020.07.01.182709v1
48,"Zhang et al. (Nature Genetics, 2022), preprint on (bioRxiv)","7,213 European Americans (EA) and 1,871 African Americans (AA)",Atherosclerosis Risk in Communities (ARIC) cohort study,4657,1005 (AA) and 1384 (EA) cis-associations (trans not analyzed),Aptamer-based (Somalogic V4),https://www.nature.com/articles/s41588-022-01051-w ; https://www.biorxiv.org/content/10.1101/2021.03.15.435533v1
49,Brown et al. (Nat. Comms. 2023),"3,029",DIRECT study,373,"1,590 cis-pQTLs, 533 trans-pQTLs","Immuno-assay (four Olink panels: CVD I, II, II, Development & Metabolism); study also incl. metabolomics & transcriptomics GWAS",https://www.nature.com/articles/s41467-023-40569-3
50,"Zhong et al., (Nature Comm. 2021)",101,Longitudinal wellness cohort from Sweden,1463,331 associations between 143 proteins and 321 independent genetic variants,Immuno-assay (Olink Explorer platform),https://www.nature.com/articles/s41467-021-22767-z
51,"Gurinovich et al. (GeroScience, 2021)",224,New England Centenarian Study (NECS),4131,Supp Tab 3 provides pQTL data for 21 age-associated variants with 3641 aptamers,Aptamer-based (Somalogic V4? platform),https://link.springer.com/article/10.1007/s11357-021-00376-4
52,"Gudjonsson et al. (Nat. Comm. 2022), (bioRxiv 2021)",5368,AGES study (Islanders over 65),4782,4113,Aptamer-based (SOMAscan in-house),https://www.nature.com/articles/s41467-021-27850-z ; https://www.biorxiv.org/content/10.1101/2021.07.02.450858v1
53,"Yang et al. (Nature Neuroscience, 2021), preprint medRxiv","835, 529, and 380 CSF, plasma, and brain samples, resp.","Three tissues (cerebrospinal fluid, plasma, brain) from Europeans with and without Alzheimer's disease","713, 931, and 1079 proteins after QC in in CSF, plasma, and brain, resp.","274, 127 and 32 pQTLs for CSF, plasma, and brain, resp.",Aptamer-based (SOMAscan 1.3k),https://www.nature.com/articles/s41593-021-00886-6 ; https://www.medrxiv.org/content/10.1101/2020.06.25.20140277v1
54,"Pietzner et al. (Science, 2021)","12,084",fasted EDTA-plasma samples from the Fenland study,"4,775","10,674 pQTLs for 3,892 proteins",Aptamer-based (Somalogic V4 platform),https://www.science.org/doi/10.1126/science.abj1541
55,"Katz et al. (Circulation, 2021)","1,852",Black adults from the Jackson Heart Study,"1,301",569,Aptamer-based (SOMAscan 1.3k),https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.121.055117
56,"Ferkingstad et al. (Nature Genetics, 2021)","35,559",Icelanders,"4,907","18,084",Aptamer-based (Somalogic V4 platform),https://www.nature.com/articles/s41588-021-00978-w
57,"Png et al. (Nat Comm, 2021)","2,893","MANOLIS and Pomak, part of the Hellenic Isolated Cohorts (HELIC)",184,214 pQTLs for 107 proteins,Immuno-assay (Olink neurology and neuro-exploratory panels),https://www.nature.com/articles/s41467-021-27387-1
58,"Preprint on Research Square, 2022",288,"postmortem human brain samples (179 males, 109 females) from the Stanley Medical Research Institute (SMRI) and Banner Sun Health Research Institute (BSHRI)","11,672",788 cis-pQTLs with 883 proteins,11-plex tandem mass tag (TMT) coupled with two-dimensional liquid chromatography-tandem mass spectrometry (LC/LC-MS/MS),https://www.researchsquare.com/article/rs-1633422/v1
59,"Sun et al., bioRxiv 2022","1,472","UK Biobank, frequent variants with imputed genotype","35,571 (discovery) and 18,181 (replication)","10,248 primary associations across 2,928 independent genetic regions",Olink Explore 1536 platform,https://www.biorxiv.org/content/10.1101/2022.06.17.496443v1
60,"Katz et al., Science Advances 2022","568 (Jackson Heart Study), 219 (HERITAGE Family Study)",Jackson Heart Study and HERITAGE Family Study,"1301 (SomaScan1.3K), 4979 (SomaScan5K), 1472 (Olink Explore)",425 known + 373 new cis-pQTLs,"SomaScan1.3K, SomaScan5K, Olink Explore",https://www.science.org/doi/10.1126/sciadv.abm5164
61,"Thareja et al., Human Mol. Genetics (in press)","2,935","Qatar Biobank, whole genome sequencing","1,301","2,685",SomaScan1.3k,https://academic.oup.com/hmg/advance-article/doi/10.1093/hmg/ddac243/6724969
62,"He et al., BMC Biology, 2020",287,normal human liver samples,"1,508",900 local pQTL variants and 4026 distant pQTL variants,LC-MS/MS using DIA-TPA,https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-020-00830-3
63,Dhindsa et al. medRxiv 2022,"50,829","UK Biobank, rare variants with exome seq","1,472","3,674",Olink Explore 1536 platform,https://www.biorxiv.org/content/10.1101/2022.10.09.511476v1
64,"Hou et al. (ASHG abstract, 2022)","13,227",UK Biobank European participants with WGS data,"1,463","2,374",Olink Explore 1536 platform,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=419
65,"Chen et al. (ASHG abstract, 2022)","1,002",Women’s Health Initiative (WHI),552,not specified,targeted Olink panels,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=2573
66,"Koprulu et al. (ASHG abstract, 2022)","1,180",not specified,"2,923","1,553 cis-pQTLs",a novel antibody-based assay (source not specified),https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1944
67,"Richardson et al. (ASHG abstract, 2022)","42,000",UK Biobank Pharma Proteomics Project,"1,462",not specified,Olink Explore 1536 platform,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1123
68,"Kuliesius et al. (ASHG abstract, 2022)",not specified,Viking Health Study - Shetland,"6,434",456,Somalogic aptamer-based technology,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1535
69,"Cruchaga et alk. (ASHG abstract, 2022)","3,065",Cerebrospinal fluid (CSF),"7,584","2,472",Somalogic aptamer-based technology [study also has Metabolon mQTLs],https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1155
70,"Cai et al. (ASHG abstract, 2022)","1,537 AA, 883 EA,1062 EA from Framingham Heart Study",African American (AA) and European American (EA) from the Women's Health Initiative,"1,472","1,678 (AA), 1,153 (EA)",Olink Explore 1536 platform,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=311
71,"Siddiqui et al. (ASHG abstract, 2022)",139,Late-stage Alzheimer’s disease (case/control),"5,060/4,706 from DDA/DIA","73/59 cis-pQTLs and 1,527/3,288 trans-pQTLs from DDA/DIA","Proteograph Product Suite (Seer Inc.) using nanoparticle-based enrichment, DIA and DDA MS/MS",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=588
72,"Chiou et al. (ASHG abstract, 2022)","35,306",UK Biobank Pharma Proteomics Project,"1,424","28,867",Olink Explore 1536 platform,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1861
73,"Wingo et al. (ASHG abstract, 2022)","1,100","Brain proteomes (dorsolateral prefrontal cortex), European ancestry","10,198","1,171 SNP-by-sex interactions",not specified,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=2514
74,"Surapaneni et al. (Kidney International, 2022)",466,Serum of African Americans,"6,790",696,SOMAScan 4.1,https://www.kidney-international.org/article/S0085-2538(22)00547-6/fulltext
75,Hansson et al. (EMBO Mol. Med. 2022),"1,591",Cerebrospinal fluid (CSF),398,176,"Olink panels (CVD-III, INF-I, NEU-I, NEUEXP) + other assays (ELISA, Meso Scale Discovery, ..)",https://www.embopress.org/doi/full/10.15252/emmm.202216359
76,"Caron et al. (Genome Medicine, 2022)",400,"Milieu Intérieur cohort, France",229,152,Luminex,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-022-01032-y
77,"Hillary et al. (Alzheimers Dement, 2022)","1,064",Scottish Family Health Study,282 AD associated proteins,64,SOMAscan v4,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/dad2.12280
78,"Koprulu et al. (Nature Metabolism, 2023)","2,923",EPIC-Norfolk (UK),"1,180",256 unreported pQTLs,Olink Explore 1536 and Explore Expansion assays,https://www.nature.com/articles/s42255-023-00753-7
79,"Niu et al., medRxiv 2023","1,914","HOLBAEK Study, children and adolescents (Denmark)",420,712 for 158 proteins,DIA-MS,https://www.medrxiv.org/content/10.1101/2023.03.31.23287853v1
80,"Xu et al. (Nat. Comm., 2023)","2,958",Han Chinese,304,195,SWATH-MS,https://www.nature.com/articles/s41467-023-36491-3
81,Wingo et al. (Nat. Med. 2023),"1,277 human brain proteomes",Donors of European ancestry from multiple studies,"10,198","1,036,025 pQTLs identified in the first stage",Isobaric tandem mass tag peptide labeling with peptides analyzed by liquid chromatography coupled to tandem mass spectrometry (MS),https://www.nature.com/articles/s41591-023-02509-y
82,Wingo et al. (Nat. Genet. 2023),376 human brain proteomes,Donors of European ancestry from multiple studies,"8,356",N/A,Isobaric tandem mass tag peptide labeling with peptides analyzed by liquid chromatography coupled to tandem mass spectrometry (MS),https://www.nature.com/articles/s41588-020-00773-z
83,Zhao et al. (Nat. Immun. 2023),"14,824",11 cohorts from the Scallop consortium,91,"180 pQTLs (59 cis, 121 trans)",Olink Inflamation panel,https://www.nature.com/articles/s41590-023-01588-w
84,Sun et al. (Nature 2023),"54,219",UK Biobank Pharma Proteomics Project,"2,923","14,287",Olink Explore 3072,https://www.nature.com/articles/s41586-023-06592-6
85,Dhindsa et al. (Nature 2023),"49,736",UK Biobank Pharma Proteomics Project,"2,923","5,433 rare genotype–protein associations",Olink Explore 3072,https://www.nature.com/articles/s41586-023-06547-x
86,Eldjarn et al. (Nature 2023),">50,000",UK Biobank Pharma Proteomics Project,"2,941","2,102 cis and 24,824 trans in the British or Irish ancestry group",Olink Explore 3072,https://www.nature.com/articles/s41586-023-06563-x
87,Macdonald-Dunlop et al. (medRxiv 2021),"26,494",18 cohorts of European ancestry from Scallop,184,"1,308",Olink CVD2 and CVD3 panels,https://www.medrxiv.org/content/10.1101/2021.08.03.21261494v1
88,Carland et al. (Clin. Proteom. 2023),"22,997",12 cohorts of primary European ancestry from Scallop,92,503,Olink Metabolism panel,https://clinicalproteomicsjournal.biomedcentral.com/articles/10.1186/s12014-023-09421-0
89,"Gilly et al. (Molecular Metabolism, 2023)","3,005",two isolated Greek populations,92,322,Olink Cardiometabolic panel,https://doi.org/10.1016/j.molmet.2023.101810
90,"Said et al. (MedRxiv, 2023)","3,974",China Kadoorie Biobank,"1,451","2,872",Olink Explore 1536 platform,https://www.medrxiv.org/content/10.1101/2023.11.13.23298365v1
91,Suhre (Cell Genomics 2024),"52,705",UK Biobank Pharma Proteomics Project,"2,821 ratios","8,462 rQTLs",Olink Explore 1536 platform,https://www.cell.com/cell-genomics/fulltext/S2666-979X(24)00033-8
92,Kalnapenkis et al. (Scientific Reports 2024),500,Estonian Biobank,326,"278 (184 cis, 94 trans)","Olink CVD II, CVD III, Inflammation, Oncology II",https://www.nature.com/articles/s41598-024-57966-3
93,Fang et al. medRxiv 2025,700,GTEx,"10,841",1981 cis-pQTLs,LC-TMT-MS,https://www.medrxiv.org/content/10.1101/2025.01.10.25320181v1
