column,row_id,original,homogenized
Platform,1,Immuno-assay,Immunoassay
Sample_type,1,(none in source),Plasma/serum (assumed)
pQTL,1,8,cis= trans= total=8
Platform,2,Aptamer-based (SOMAscan v1),Aptamer (SomaScan)
Sample_type,2,(none in source),Plasma
pQTL,2,60,cis= trans= total=60
Platform,3,Mass-spectrometry,Mass spec
Sample_type,3,(none in source),Plasma
pQTL,3,5,cis= trans= total=5
Platform,4,Immuno-assay,Immunoassay
Sample_type,4,(none in source),Plasma
pQTL,4,28,cis= trans= total=28
Platform,5,Immune traits (not really proteomics),Other / unspecified
Sample_type,5,(none in source),Plasma/serum (assumed)
pQTL,5,23,cis= trans= total=23
Platform,6,Micro-western and reverse phase protein arrays,Mass spec
Sample_type,6,(none in source),Plasma/serum (assumed)
pQTL,6,NA,cis= trans= total=
Platform,7,Immuno-assay,Immunoassay
Sample_type,7,(none in source),Plasma/serum (assumed)
pQTL,7,18,cis= trans= total=18
Platform,8,Immuno-assay for proteins relevant to Altzheimer's disease,Immunoassay
Sample_type,8,(none in source),CSF
pQTL,8,5,cis= trans= total=5
Platform,9,Mass-spectrometry,Mass spec
Sample_type,9,(none in source),Plasma
pQTL,9,18,cis= trans= total=18
Platform,10,Multiplex immuno assays (Myriad-RBM),Immunoassay
Sample_type,10,(none in source),Plasma/serum (assumed)
pQTL,10,527,cis= trans= total=527
Platform,11,Immuno-assay,Immunoassay
Sample_type,11,(none in source),Plasma
pQTL,11,56,cis= trans= total=56
Platform,12,Immuno-assay for proteins implicated in cardiovascular diseases,Immunoassay
Sample_type,12,(none in source),Serum
pQTL,12,27,cis= trans= total=27
Platform,13,Immuno-assay for cytokines and growth factors,Immunoassay
Sample_type,13,(none in source),Plasma/serum (assumed)
pQTL,13,27,cis= trans= total=27
Platform,14,Aptamer-based (SOMAscan 1.1k),Aptamer (SomaScan)
Sample_type,14,(none in source),Serum
pQTL,14,41,cis= trans= total=41
Platform,15,Aptamer-based (SOMAscan 1.1k),Aptamer (SomaScan)
Sample_type,15,(none in source),Plasma
pQTL,15,539,cis= trans= total=539
Platform,16,Aptamer-based (SOMAscan 1.1k),Aptamer (SomaScan)
Sample_type,16,(none in source),CSF
pQTL,16,476,cis= trans= total=476
Platform,17,Immuno-assay for proteins implicated in cardiovascular diseases,Immunoassay
Sample_type,17,(none in source),Plasma
pQTL,17,79,cis= trans= total=79
Platform,18,Mass-spectrometry (small peptide subset of the non-targeted Metabolon metabolomics platform),Mass spec
Sample_type,18,(none in source),Serum
pQTL,18,22,cis= trans= total=22
Platform,19,Antibody-based proximity extension assay,PEA (Olink)
Sample_type,19,(none in source),Plasma/serum (assumed)
pQTL,19,45,cis= trans= total=45
Platform,20,Aptamer-based (SOMAscan 1.1k),Aptamer (SomaScan)
Sample_type,20,(none in source),Plasma/serum (assumed)
pQTL,20,55,cis= trans= total=55
Platform,21,"Aptamer-based, array based genotyping and exome seq",Aptamer (SomaScan)
Sample_type,21,(none in source),Plasma/serum (assumed)
pQTL,21,161,cis= trans= total=161
