row_id,Year,Reference,Study_population,Sample_type,Platform_class,Platform_detail,N_proteins,N_cis_pQTL,N_trans_pQTL,N_pQTL_total,N_pQTL_raw,N_samples,PMID,DOI,PubMed_url,DOI_url,orig_url,notes,flag
1,2008,"Melzer et al. (PLoS Genet, 2008)",Population study,Plasma/serum (assumed),Immunoassay,Immuno-assay,42,,,8,8,1200,18464913,10.1371/journal.pgen.1000072,https://pubmed.ncbi.nlm.nih.gov/18464913/,https://doi.org/10.1371/journal.pgen.1000072,https://www.ncbi.nlm.nih.gov/pubmed/18464913,sample type assumed plasma/serum (not stated in source),
2,2012,"Lourdusamy et al. (Hum Mol Genet, 2012)",Elderly Europeans,Plasma,Aptamer (SomaScan),Aptamer-based (SOMAscan v1),778,,,60,60,96,22595970,10.1093/hmg/dds186,https://pubmed.ncbi.nlm.nih.gov/22595970/,https://doi.org/10.1093/hmg/dds186,https://www.ncbi.nlm.nih.gov/pubmed/22595970,,
3,2013,"Johansson et al. (PNAS, 2013)",Two population cohorts,Plasma,Mass spec,Mass-spectrometry,163,,,5,5,1060,23487758,10.1073/pnas.1217238110,https://pubmed.ncbi.nlm.nih.gov/23487758/,https://doi.org/10.1073/pnas.1217238110,https://www.ncbi.nlm.nih.gov/pubmed/23487758,,
4,2013,"Kim et al. (PLoS One, 2013)",Altzheimer's disease cohort,Plasma,Immunoassay,Immuno-assay,132,,,28,28,521,23894628,10.1371/journal.pone.0070269,https://pubmed.ncbi.nlm.nih.gov/23894628/,https://doi.org/10.1371/journal.pone.0070269,https://www.ncbi.nlm.nih.gov/pubmed/23894628,,
5,2013,"Orru et al. (Cell, 2013)",Individuals from four clustered Sardinian villages,Plasma/serum (assumed),Other / unspecified,Immune traits (not really proteomics),272,,,23,23,1629,24074872,10.1016/j.cell.2013.08.041,https://pubmed.ncbi.nlm.nih.gov/24074872/,https://doi.org/10.1016/j.cell.2013.08.041,https://www.cell.com/cell/fulltext/S0092-8674(13)01072-6,sample type assumed plasma/serum (not stated in source); source labels this as not strictly a protein-abundance GWAS,not-really-proteomics
6,2014,"Stark et al. (PLoS Genetics, 2014)",Yoruba HapMap lymphoblastoid cell lines,Plasma/serum (assumed),Mass spec,Micro-western and reverse phase protein arrays,441,,,,NA,68,24699359,10.1371/journal.pgen.1004192,https://pubmed.ncbi.nlm.nih.gov/24699359/,https://doi.org/10.1371/journal.pgen.1004192,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004192,sample type assumed plasma/serum (not stated in source),
7,2014,"Enroth et al. (Nature Comm, 2014)",Population study,Plasma/serum (assumed),Immunoassay,Immuno-assay,77,,,18,18,970,25147954,10.1038/ncomms5684,https://pubmed.ncbi.nlm.nih.gov/25147954/,https://doi.org/10.1038/ncomms5684,https://www.ncbi.nlm.nih.gov/pubmed/25147954,sample type assumed plasma/serum (not stated in source),
8,2014,"Kauve et al., (PLoS Genet., 2014)",CSF fluid from two Altzheimer's disease cohorts,CSF,Immunoassay,Immuno-assay for proteins relevant to Altzheimer's disease,59,,,5,5,574,25340798,10.1371/journal.pgen.1004758,https://pubmed.ncbi.nlm.nih.gov/25340798/,https://doi.org/10.1371/journal.pgen.1004758,https://www.ncbi.nlm.nih.gov/pubmed/25340798,,
9,2015,"Liu et al. (Mol Syst Biol, 2015)",Female twins,Plasma,Mass spec,Mass-spectrometry,342,,,18,18,113,25652787,10.15252/msb.20145728,https://pubmed.ncbi.nlm.nih.gov/25652787/,https://doi.org/10.15252/msb.20145728,https://www.ncbi.nlm.nih.gov/pubmed/25652787,,
10,2016,"Sun et al. (PLOS Genetics, 2016)",Current and former smokers with and without COPD (SPIROMICS & COPDGene ),Plasma/serum (assumed),Immunoassay,Multiplex immuno assays (Myriad-RBM),88,,,527,527,1340,27532455,10.1371/journal.pgen.1006011,https://pubmed.ncbi.nlm.nih.gov/27532455/,https://doi.org/10.1371/journal.pgen.1006011,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006011,sample type assumed plasma/serum (not stated in source),
