row_id,Reference,orig_url,method,DOI,PMID,epmc_source,resolved_title,resolved_journal,resolved_year,status,flag
1,"Melzer et al. (PLoS Genet, 2008)",https://www.ncbi.nlm.nih.gov/pubmed/18464913,pmid,10.1371/journal.pgen.1000072,18464913,MED,A genome-wide association study identifies protein quantitative trait loci (pQTLs).,PLoS Genet,2008,resolved,
2,"Lourdusamy et al. (Hum Mol Genet, 2012)",https://www.ncbi.nlm.nih.gov/pubmed/22595970,pmid,10.1093/hmg/dds186,22595970,MED,Identification of cis-regulatory variation influencing protein abundance levels in human plasma.,Hum Mol Genet,2012,resolved,
3,"Johansson et al. (PNAS, 2013)",https://www.ncbi.nlm.nih.gov/pubmed/23487758,pmid,10.1073/pnas.1217238110,23487758,MED,Identification of genetic variants influencing the human plasma proteome.,Proc Natl Acad Sci U S A,2013,resolved,
4,"Kim et al. (PLoS One, 2013)",https://www.ncbi.nlm.nih.gov/pubmed/23894628,pmid,10.1371/journal.pone.0070269,23894628,MED,Influence of genetic variation on plasma protein levels in older adults using a multi-analyte panel.,PLoS One,2013,resolved,
5,"Orru et al. (Cell, 2013)",https://www.cell.com/cell/fulltext/S0092-8674(13)01072-6,verified-manual,10.1016/j.cell.2013.08.041,24074872,,Genetic variants regulating immune cell levels in health and disease.,Cell,2013,resolved,
6,"Stark et al. (PLoS Genetics, 2014)",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004192,doi,10.1371/journal.pgen.1004192,24699359,MED,Protein quantitative trait loci identify novel candidates modulating cellular response to chemotherapy.,PLoS Genet,2014,resolved,
7,"Enroth et al. (Nature Comm, 2014)",https://www.ncbi.nlm.nih.gov/pubmed/25147954,pmid,10.1038/ncomms5684,25147954,MED,Strong effects of genetic and lifestyle factors on biomarker variation and use of personalized cutoffs.,Nat Commun,2014,resolved,
8,"Kauve et al., (PLoS Genet., 2014)",https://www.ncbi.nlm.nih.gov/pubmed/25340798,pmid,10.1371/journal.pgen.1004758,25340798,MED,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.,PLoS Genet,2014,resolved,
9,"Liu et al. (Mol Syst Biol, 2015)",https://www.ncbi.nlm.nih.gov/pubmed/25652787,pmid,10.15252/msb.20145728,25652787,MED,Quantitative variability of 342 plasma proteins in a human twin population.,Mol Syst Biol,2015,resolved,
10,"Sun et al. (PLOS Genetics, 2016)",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006011,doi,10.1371/journal.pgen.1006011,27532455,MED,Common Genetic Polymorphisms Influence Blood Biomarker Measurements in COPD.,PLoS Genet,2016,resolved,
11,"Deming et al. (Sci Rep, 2016)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4698720/,pmcid,10.1038/srep18092,36647296,MED,Genetic studies of plasma analytes identify novel potential biomarkers for several complex traits.,Sci Rep,2016,resolved,
12,"Solomon et al. (Circ Cardiovasc Genet, 2016)",https://www.ncbi.nlm.nih.gov/pubmed/27329291,pmid,10.1161/circgenetics.115.001327,27329291,MED,Associations Between Common and Rare Exonic Genetic Variants and Serum Levels of 20 Cardiovascular-Related Proteins: The Tromsø Study.,Circ Cardiovasc Genet,2016,resolved,
13,"Ahola-Olli et al. (Am J Hum Genet, 2017)",https://www.ncbi.nlm.nih.gov/pubmed/27989323,pmid,10.1016/j.ajhg.2016.11.007,27989323,MED,Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.,Am J Hum Genet,2017,resolved,
14,"Di Narzo et al. (PLoS Genet, 2017)",https://www.ncbi.nlm.nih.gov/pubmed/28129359,pmid,10.1371/journal.pgen.1006565,28129359,MED,High-Throughput Characterization of Blood Serum Proteomics of IBD Patients with Respect to Aging and Genetic Factors.,PLoS Genet,2017,resolved,
15,"Suhre et al. (Nature Comm, 2017)",https://www.nature.com/articles/ncomms14357,doi,10.1038/ncomms14357,28240269,MED,Connecting genetic risk to disease end points through the human blood plasma proteome.,Nat Commun,2017,resolved,
16,"Sasayama et al. (Hum Mol Genet, 2017)",https://www.ncbi.nlm.nih.gov/pubmed/28031287,pmid,10.1093/hmg/ddw366,28031287,MED,Genome-wide quantitative trait loci mapping of the human cerebrospinal fluid proteome.,Hum Mol Genet,2017,resolved,
17,"Folkersen et al. (PLoS Genet., 2017)",https://www.ncbi.nlm.nih.gov/pubmed/28369058,pmid,10.1371/journal.pgen.1006706,28369058,MED,Mapping of 79 loci for 83 plasma protein biomarkers in cardiovascular disease.,PLoS Genet,2017,resolved,
18,"de Vries et al. (Hum. Mol. Genet., 2017)",https://academic.oup.com/hmg/article/26/17/3442/3953984,verified-manual,10.1093/hmg/ddx266,28854705,,Whole-genome sequencing study of serum peptide levels: the Atherosclerosis Risk in Communities study.,Human molecular genetics,2017,resolved,
19,"Ahsan et al. (PLoS Genet., 2017)",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007005,doi,10.1371/journal.pgen.1007005,28915241,MED,The relative contribution of DNA methylation and genetic variants on protein biomarkers for human diseases.,PLoS Genet,2017,resolved,
20,"Carayol et al. (Nature Comm, 2017)",https://www.nature.com/articles/s41467-017-02182-z,doi,10.1038/s41467-017-02182-z,29234017,MED,Protein quantitative trait locus study in obesity during weight-loss identifies a leptin regulator.,Nat Commun,2017,resolved,
21,"Benson et al. (Circulation, 2017)",https://doi.org/10.1161/CIRCULATIONAHA.117.029536,doi,10.1161/circulationaha.117.029536,29258991,MED,Genetic Architecture of the Cardiovascular Risk Proteome.,Circulation,2018,resolved,
22,"Patin et al. (Nature Immunology, 2018)",https://www.nature.com/articles/s41590-018-0049-7,doi,10.1038/s41590-018-0049-7,29476184,MED,Natural variation in the parameters of innate immune cells is preferentially driven by genetic factors.,Nat Immunol,2018,resolved,
23,"Sun et al. (Nature, 2018); pre-print on bioRxiv",https://www.nature.com/articles/s41586-018-0175-2,doi,10.1038/s41586-018-0175-2,29875488,MED,Genomic atlas of the human plasma proteome.,Nature,2018,resolved,
24,"Emilsson et al. (Science, 2018)",http://science.sciencemag.org/content/early/2018/08/01/science.aaq1327,fallback-unique,10.1126/science.aaq1327,30072576,MED,Co-regulatory networks of human serum proteins link genetics to disease.,Science,2018,resolved,
25,"Yao et al. (Nature Comm, 2018); pre-print on bioRxiv",https://www.nature.com/articles/s41467-018-05512-x,doi,10.1038/s41467-018-05512-x,30111768,MED,Genome-wide mapping of plasma protein QTLs identifies putatively causal genes and pathways for cardiovascular disease.,Nat Commun,2018,resolved,
26,"Sliz et al. (J. Med. Genet., 2019), pre-print on bioRxiv",https://jmg.bmj.com/content/early/2019/06/19/jmedgenet-2018-105965,verified-manual,10.1136/jmedgenet-2018-105965,31217265,,Genome-wide association study identifies seven novel loci associating with circulating cytokines and cell adhesion molecules in Finns.,Journal of medical genetics,2019,resolved,
27,"Mirauta et al. (eLife, 2020), preprint on BioRxiv, 2018",https://elifesciences.org/articles/57390,fallback-unique,10.7554/elife.57390,32773033,MED,Population-scale proteome variation in human induced pluripotent stem cells.,Elife,2020,resolved,
28,Zhernakova et al. (Nature Gen. 2018),https://www.nature.com/articles/s41588-018-0224-7,doi,10.1038/s41588-018-0224-7,30250126,MED,Individual variations in cardiovascular-disease-related protein levels are driven by genetics and gut microbiome.,Nat Genet,2018,resolved,
29,"Solomon et al. (Circulation: Genomic and Precision Medicine, 2018)",https://www.ahajournals.org/doi/10.1161/CIRCGEN.118.002170,doi,10.1161/circgen.118.002170,30562114,MED,Identification of Common and Rare Genetic Variation Associated With Plasma Protein Levels Using Whole-Exome Sequencing and Mass Spectrometry.,Circ Genom Precis Med,2018,resolved,
30,"Zheng et al. (Nature Genetics, 2020), preprint on BioRxiv, 2019",https://www.nature.com/articles/s41588-020-0682-6,doi,10.1038/s41588-020-0682-6,32895551,MED,Phenome-wide Mendelian randomization mapping the influence of the plasma proteome on complex diseases.,Nat Genet,2020,resolved,
31,"Hillary et al. (Nat. Comm., 2019)",https://www.nature.com/articles/s41467-019-11177-x,doi,10.1038/s41467-019-11177-x,31320639,MED,Genome and epigenome wide studies of neurological protein biomarkers in the Lothian Birth Cohort 1936.,Nat Commun,2019,resolved,
32,Peters et al. (ASHG 2019 abstract),https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=40310098,conf-abstract,,,,,,,unresolved,
33,Wilson et al. (ASHG 2019 abstract),https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=112002,conf-abstract,,,,,,,unresolved,
34,Klaric et al. (ASHG 2019 abstract),https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=30308133,conf-abstract,,,,,,,unresolved,
35,"Robins et al. (AJHG 2021), preprint on bioRxiv, 2019",https://www.cell.com/ajhg/fulltext/S0002-9297(21)00012-4,verified-manual,10.1016/j.ajhg.2021.01.012,33571421,,Genetic control of the human brain proteome.,American journal of human genetics,2021,resolved,
36,"Höglund et al. (Scientific Rep., 2019)",https://www.nature.com/articles/s41598-019-53111-7,doi,10.1038/s41598-019-53111-7,31727947,MED,Improved power and precision with whole genome sequencing data in genome-wide association studies of inflammatory biomarkers.,Sci Rep,2019,resolved,
