score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
30,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|platform|cohort|nproteins,,2025,PPR,,10.1101/2025.06.20.660695,"{'publisher': 'bioRxiv', 'yearOfPublication': 2025}",Epitope Effect Prevalence in Affinity-based pQTL studies,"Kuliesius J, Badonyi M, Navarro P, Marsh JA, Klaric L, Wilson JF.",2025-06-24,"Affinity-based proteomics platforms Olink and SomaScan have enabled population-wide human proteogenomic studies, linking genetic variants to protein abundances. However, sequence alterations in the binding site of the detection reagent may introduce platform-specific measurement bias unrelated to protein levels, referred to as the epitope effect. In this study, we investigated the prevalence of epitope effects using  cis protein quantitative trait loci (pQTL) discovered in three of the largest proteogenomic studies: UK Biobank, deCODE, and Fenland.  Across 5,817 protein targets assayed in thes"
30,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|platform|cohort|nproteins,,2023,PPR,,10.1101/2023.07.19.549734,"{'publisher': 'bioRxiv', 'yearOfPublication': 2023}",Genetic associations with ratios between protein levels detect new pQTLs and reveal protein-protein interactions,Suhre K.,2023-07-20,"Protein quantitative trait loci (pQTLs) are an invaluable source of information for drug target development as they provide genetic evidence to support protein function, suggest relationships between  cis - and  trans -associated proteins, and link proteins to disease where they collocate with genetic risk loci for clinical endpoints. Using the recently released Olink proteomics data for 1,463 proteins measured in over 54,000 samples of the UK Biobank we identified and replicated 4,248 associations with 2,821 ratios between protein levels (rQTLs) where the strengths of association at known pQT"
30,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|platform|cohort|nproteins,,2024,MED,38412862,10.1016/j.xgen.2024.100506,Cell genomics,Genetic associations with ratios between protein levels detect new pQTLs and reveal protein-protein interactions.,Suhre K.,2024-02-26,"Protein quantitative trait loci (pQTLs) are an invaluable source of information for drug target development because they provide genetic evidence to support protein function, suggest relationships between cis- and trans-associated proteins, and link proteins to disease endpoints. Using Olink proteomics data for 1,463 proteins measured in over 54,000 samples of the UK Biobank, we identified 4,248 associations with 2,821 ratios between protein levels (rQTLs). rQTLs were 7.6-fold enriched in known protein-protein interactions, suggesting that their ratios reflect biological links between the impl"
26,likely_primary,prot:title|gwas:title|denovo-pqtl|platform|cohort|nproteins,,2025,MED,40640959,10.1186/s13059-025-03671-x,Genome biology,Protein quantitative trait locus analysis in African American and non-Hispanic White individuals.,"Cai Y, Johnson M, Haessler J, Molstad AJ, Hwang SJ, Joehanes R, Murabito JM, Tahir UA, Franceschini N, Gerszten RE, Sun W, Levy D, Raffield LM, Kooperberg C, Hsu L, Reiner AP.",2025-07-10,"<h4>Background</h4>Substantial efforts have been dedicated to exploring the link between genetic regulation and the proteome, informing studies of complex trait mechanisms. Most of these efforts have been limited to populations of European ancestry.<h4>Results</h4>We conduct an Olink protein quantitative trait locus (pQTL) analysis on 1245 proteins involving 1033 self-identified African American (AA) and 1764 non-Hispanic White (NHW) participants from the Women's Health Initiative and Framingham Heart Study. For replication of candidate pQTLs, we use data from 534 self-identified AA adults fro"
26,likely_primary,prot:title|gwas:title|denovo-pqtl|platform|cohort|nproteins,,2024,PPR,,10.1101/2024.07.03.24309577,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Genetic regulation of the plasma proteome and its link to cardiometabolic disease in Greenlandic Inuit,"Stinson SE, Balboa RF, Andersen MK, Stæger FF, He S, Baun Thuesen AC, Lin L, Bjerregaard P, Bjerregaard P, Larsen CV, Grarup N, Jørgensen ME, Moltke I, Albrechtsen A, Hansen T.",2024-07-05,"<h4>Summary</h4> <h4>Background</h4> Circulating proteins play essential roles in numerous complex diseases, yet our understanding of the genetic influences on inflammation and cardiovascular-related proteins in non-European isolated populations remains sparse. Here, we aimed to characterise the genetic architecture of plasma protein biomarkers in the Greenlandic population. <h4>Methods</h4> Using combined data from Greenlandic population cohorts (n=3,707 individuals), including genotypes and plasma proteomics (177 proteins) from Olink Target 96 Inflammation and Cardiovascular II panels, we pe"
26,likely_primary,prot:title|gwas:title|denovo-pqtl|platform|cohort|nproteins,,2024,PPR,,10.1101/2024.07.04.24309942,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Non-linear genetic regulation of the blood plasma proteome,"Sigurdsson AI, Gräf JF, Yang Z, Ravn K, Meisner J, Thielemann R, Webel H, Smit RAJ, Niu L, Mann M, FinnGen, Vilhjalmsson B, Neale BM, Ganna A, Hansen T, Loos RJF, Rasmussen S.",2024-07-07,"Although thousands of genetic variants are linked to human traits and diseases, the underlying mechanisms influencing these traits remain largely unexplored. One important aspect is to understand how proteins are regulated by the genome by identifying protein quantitative trait loci (pQTLs). Beyond this, there is a need to understand the role of complex genetics effects such as dominance and epistasis that regulate plasma proteins and protein biomarkers. Therefore, we developed EIR-auto-GP, a deep learning-based approach, to identify such effects. Our results complement the additive genetic re"
24,likely_primary,prot:title|gwas:title|denovo-pqtl|platform|nproteins,,2025,MED,41232531,10.1016/j.ajhg.2025.10.013,American journal of human genetics,Genetic regulation of the plasma proteome and its link to cardiometabolic disease in Greenlandic Inuit.,"Stinson SE, Balboa RF, Andersen MK, Stæger FF, He S, Baun Thuesen AC, Lin L, Jørsboe E, Bjerregaard P, Larsen CVL, Grarup N, Jørgensen ME, Moltke I, Albrechtsen A, Hansen T.",2025-11-12,"Circulating proteins play essential roles in complex diseases, yet protein quantitative trait locus (pQTL) studies in non-European, isolated populations remain limited. We analyzed genotypes and plasma proteomics data (Olink Target 96 Inflammation and Cardiovascular II panels) from 3,707 Greenlandic individuals (mean age: 47.9 years; 54.5% female), using linear mixed models to account for relatedness and population structure. Among 177 proteins, we identified 251 primary pQTLs-235 additive (84 cis, 8 semi-cis, 12 semi-trans, and 131 trans) and 16 recessive (1 cis, 2 semi-trans, and 13 trans)-4"
24,likely_primary,prot:title|gwas:title|denovo-pqtl|platform|nproteins,,2024,PPR,,10.1101/2024.05.27.596028,"{'publisher': 'bioRxiv', 'yearOfPublication': 2024}",A genome-wide association study of mass spectrometry proteomics using the Seer Proteograph platform,"Suhre K, Chen Q, Halama A, Mendez K, Dahlin A, Stephan N, Thareja G, Sarwath H, Guturu H, Dwaraka VB, Batzoglou S, Schmidt F, Lasky-Su JA.",2024-06-01,"<h4>ABSTRACT</h4>  Genome-wide association studies (GWAS) with proteomics are essential tools for drug discovery. To date, most studies have used affinity proteomics platforms, which have limited discovery to protein panels covered by the available affinity binders. Furthermore, it is not clear to which extent protein epitope changing variants interfere with the detection of protein quantitative trait loci (pQTLs). Mass spectrometry-based (MS) proteomics can overcome some of these limitations. Here we report a GWAS using the MS-based Seer Proteograph  TM platform with blood samples from a disc"
23,likely_primary,prot:title|gwas:title|pqtl:title|platform|nproteins,,2024,MED,38307861,10.1038/s41467-024-45233-y,Nature communications,Nanoparticle enrichment mass-spectrometry proteomics identifies protein-altering variants for precise pQTL mapping.,"Suhre K, Venkataraman GR, Guturu H, Halama A, Stephan N, Thareja G, Sarwath H, Motamedchaboki K, Donovan MKR, Siddiqui A, Batzoglou S, Schmidt F.",2024-02-02,"Proteogenomics studies generate hypotheses on protein function and provide genetic evidence for drug target prioritization. Most previous work has been conducted using affinity-based proteomics approaches. These technologies face challenges, such as uncertainty regarding target identity, non-specific binding, and handling of variants that affect epitope affinity binding. Mass spectrometry-based proteomics can overcome some of these challenges. Here we report a pQTL study using the Proteograph™ Product Suite workflow (Seer, Inc.) where we quantify over 18,000 unique peptides from nearly 3000 pr"
22,likely_primary,prot:title|gwas:title|denovo-pqtl|cohort|nproteins,,2025,MED,40360480,10.1038/s41467-025-59034-4,Nature communications,Sex differences in the genetic regulation of the human plasma proteome.,"Koprulu M, Wheeler E, Kerrison ND, Denaxas S, Carrasco-Zanini J, Orkin CM, Hemingway H, Wareham NJ, Pietzner M, Langenberg C.",2025-05-13,"Mechanisms underlying sex differences in the development and prognosis of many diseases remain largely elusive. Here, we systematically investigated sex differences in the genetic regulation of plasma proteome (>5800 protein targets) across two cohorts (30,307 females; 26,058 males). Plasma levels of two-thirds of protein targets differ significantly by sex. In contrast, genetic effects on protein targets are remarkably similar across sexes, with only 103 sex-differential protein quantitative loci (sd-pQTLs; for 2.9% and 0.3% of protein targets from antibody- and aptamer-based platforms, respe"
22,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|cohort|nproteins,,2025,MED,41392155,10.1038/s41467-025-67235-0,Nature communications,Complex genetic effects linked to plasma protein abundance in the UK Biobank.,"Sigurdsson AI, Gräf JF, Yang Z, Ravn K, Meisner J, Thielemann R, Webel H, Smit RAJ, Niu L, Mann M, FinnGen, Vilhjalmsson B, Neale BM, Holm JC, Ganna A, Hansen T, Loos RJF, Rasmussen S.",2025-12-14,"Understanding genetic associations of proteins is important for studying the molecular effect of genetic variation. A key component of this is to understand the role of complex genetic effects such as dominance and epistasis that are associated with plasma proteins. Therefore, we develop EIR-auto-GP, a deep learning-based approach, to identify complex effects that are associated with protein quantitative trait loci (pQTLs). Applying this method to the UK Biobank proteomics cohort of 48,594 individuals, we identify 123 proteins that are correlated with non-linear covariates and 15 with genetic "
21,likely_primary,prot:title|gwas:title|denovo-pqtl|platform,,2025,MED,41310232,10.1038/s41588-025-02413-w,Nature genetics,A genome-wide association study of mass spectrometry proteomics using a nanoparticle enrichment platform.,"Suhre K, Chen Q, Halama A, Mendez K, Dahlin A, Stephan N, Thareja G, Sarwath H, Guturu H, Dwaraka VB, Smith R, Batzoglou S, Schmidt F, Lasky-Su JA.",2025-11-27,"Most studies to date of protein quantitative trait loci (pQTLs) have relied on affinity proteomics platforms, which provide only limited information about the targeted protein isoforms and may be affected by genetic variation in their epitope binding. Here we show that mass spectrometry (MS)-based proteomics can complement these studies and provide insights into the role of specific protein isoform and epitope-altering variants. Using the Seer Proteograph nanoparticle enrichment MS platform, we identified and replicated new pQTLs in a genome-wide association study of proteins in blood plasma s"
