pmid,doi,year,journal,source,title,authors,abstract,score
,10.1101/2024.07.30.24311254,2024,PPR,PPR,Pleiotropic and sex-specific genetic architecture of circulating metabolic markers,"van der Meer D, Rahman Z, Ottas A, Parekh P, Kutrolli G, Stinson S, Koromina M, Rokicki J, Sonderby I, Parker N, Tesfaye M, Hindley G, Rodevand L, Koch E, Steen","<h4>Background: </h4> Metabolites in plasma form biosignatures of a range of common complex human diseases. Mapping the genetic architecture and discovering variants with pleiotropic effects across metabolites can reveal underlying mechanisms and potential targets for personalized interventions. <h4>Methods:</h4> We performed univariate and multivariate genome-wide association studies (GWAS) on the Nightingale panel of 249 circulating plasma metabolic markers, across 207,836 White British UK Biobank participants (mean age 57.4 years, 53.7% female), with replication conducted across 27,509 UK B",9
40118068,10.1016/j.xgen.2025.100810,2025,Cell genomics,MED,Cross-ancestry analyses of Chinese and European populations reveal insights into the genetic architecture and disease implication of metabolites.,"Lin C, Xia M, Dai Y, Huang Q, Sun Z, Zhang G, Luo R, Peng Q, Li J, Wang X, Lin H, Gao X, Tang H, Shen X, Wang S, Jin L, Hao X, Zheng Y.","Differential susceptibilities to various diseases and corresponding metabolite variations have been documented across diverse ethnic populations, but the genetic determinants of these disparities remain unclear. Here, we performed large-scale genome-wide association studies of 171 directly quantifiable metabolites from a nuclear magnetic resonance-based metabolomics platform in 10,792 Han Chinese individuals. We identified 15 variant-metabolite associations, eight of which were successfully replicated in an independent Chinese population (n = 4,480). By cross-ancestry meta-analysis integrating",8
40973927,10.1038/s41467-025-62126-w,2025,Nature communications,MED,"Genetic architecture of plasma metabolome in 254,825 individuals.","Qiang YX, Wang YX, He XY, Deng YT, Ge YJ, Wu BS, Jia Y, Feng JF, Cheng W, Yu JT.","Circulating metabolites are crucial to biological processes underlying health and diseases, yet their genetic determinants remain incompletely understood. Here, we investigate the genetic architecture of nuclear magnetic resonance-based metabolomics, analyzing 249 metabolic measures and 64 biologically plausible ratios in 254,825 participants. We conduct a genome-wide association study (GWAS) identifying 24,438 independent variant-metabolite associations across 427 loci, with effect sizes highly concordant with 19 previous studies. Fine-mapping pinpoints 3610 putative causal associations, 785 ",8
,10.1101/2025.08.04.667775,2025,PPR,PPR,Metabolomics Ex/GWAS in the Amish reveals novel insights into cardiometabolic disease pathways,"Jallow MW, Tzoneva G, Ye B, Backman J, Zavala VA, Sosina O, Kapoor M, Verweij N, Landheer K, Geraghty B, Herman J, Marchini J, Locke A, Bovijn J, Nielsen J, Lot","<h4>ABSTRACT</h4> We conducted an exome and genome-wide association study (Ex/GWAS) of 1,015 metabolites in serum samples from 5,981 Amish adults. We identified 149 functional or likely functional genetic variants, based on CADD scores significantly associated ( P < 5.8 x 10 -8 ) with 519 metabolite levels, 69 of which were >10-fold enriched in the Amish versus Europeans in gnomAD. We discovered novel associations involving a PCK2 splice-donor variant (rs138881435) and metabolites important for energy metabolism and mitochondrial function. In UK Biobank participants, this variant was associate",8
,10.64898/2025.12.03.25341540,2025,PPR,PPR,Genetic Architecture of Circulating Metabolic Biomarkers Across Ancestral Populations,"Takeuchi Y, Koido M, He Y, Nakamura S, Liu X, Itokawa N, Tsuru H, Sagiya Y, Nagai A, Morisaki T, Matsuda K, Kamatani Y.","Circulating metabolite levels hold promise for disease risk prediction, yet the genetic architecture and cross-ancestry transferability remain incompletely characterized. Here, we conducted the largest genome-wide association study in East Asians to date, quantifying 248 blood metabolic biomarkers using nuclear magnetic resonance spectroscopy in 37,969 Japanese individuals. We identified eight novel associations and pinpointed rs75326924, causing CD36 deficiency, as a putative causal variant influencing average diameter for low-density lipoprotein particles. A cross-ancestry meta-analysis of 6",8
39389015,10.1016/j.xgen.2024.100657,2024,Cell genomics,MED,Genome-wide association study of maternal plasma metabolites during pregnancy.,"Liu S, Yao J, Lin L, Lan X, Wu L, He X, Kong N, Li Y, Deng Y, Xie J, Zhu H, Wu X, Li Z, Xiong L, Wang Y, Ren J, Qiu X, Zhao W, Gao Y, Chen Y, Su F, Zhou Y, Rao ","Metabolites are key indicators of health and therapeutic targets, but their genetic underpinnings during pregnancy-a critical period for human reproduction-are largely unexplored. Using genetic data from non-invasive prenatal testing, we performed a genome-wide association study on 84 metabolites, including 37 amino acids, 24 elements, 13 hormones, and 10 vitamins, involving 34,394 pregnant Chinese women, with sample sizes ranging from 6,394 to 13,392 for specific metabolites. We identified 53 metabolite-gene associations, 23 of which are novel. Significant differences in genetic effects betwe",7
,10.1101/2024.06.25.600593,2024,PPR,PPR,Meta-Analysis of Urinary Metabolite GWAS Studies Identifies Three Novel Genome-Wide Significant Loci,"Zaki JK, Tomasik J, McCune J, Scherman O, Bahn S.","Genome-wide association studies (GWAS) have substantially enhanced the understanding of genetic influences on phenotypic outcomes; however, realizing their full potential requires an aggregate analysis of numerous studies. Here we represent the first comprehensive meta-analysis of urinary metabolite GWAS studies, aiming to consolidate existing data on metabolite-SNP associations, evaluate consistency across studies, and unravel novel genetic links. Following an extensive literature review and data collection through the EMBL-EBI GWAS Catalog, PubMed, and metabolomix.com, we employed a sample s",7
,10.1101/2024.12.04.24318368,2024,PPR,PPR,Genome-wide Association Study of Complex Lipid Species: Results from the Population-based Rhineland Study,"Landstra EN, Imtiaz MA, Talevi V, Eichelmann F, Schulze MB, Aziz NA, Breteler MM.","The human lipidome comprises numerous complex lipids, dysregulation of which can contribute to the pathogenesis of a wide range of diseases. Despite the high heritability of parts of the lipidome, the genetic architecture of many circulating lipid species and their structure remains mostly unknown. Thus, we performed genome-wide association studies on 970 lipid species and 267 fatty acid composite measures using samples from the population-based Rhineland Study (n=6,096). We validated our findings using corresponding data from two other independent cohorts, including FinnGen (n=7,266) and EPIC",7
,10.1101/2024.11.11.24317110,2024,PPR,PPR,"Genome-wide association studies and multi-omics integrative analysis reveal novel loci and their molecular mechanisms for circulating polyunsaturated, monounsaturated, and saturated fatty acids","Sun Y, Xu H, Ye K.","Previous genome-wide association studies (GWAS) have identified genetic loci associated with the circulating levels of FAs, but the biological mechanisms of these genetic associations remain largely unexplored. Here, we conducted GWAS to identify additional genetic loci for 19 circulating fatty acid (FA) traits in UK Biobank participants of European ancestry (N = 239,268) and five other ancestries (N = 508 – 4,663). We leveraged the GWAS findings to characterize genetic correlations and colocalized regions among FAs, explore sex differences, examine FA loci influenced by lipoprotein metabolism",7
39556006,10.1002/epi4.13101,2025,Epilepsia open,MED,Cerebrospinal fluid metabolites as potential biomarkers for epilepsy: Insights from genome-wide association studies.,"Zhao Z, Xing N, Hou L.","<h4>Objectives</h4>While metabolic imbalances have been observed in individuals with epilepsy, the direct involvement of specific metabolites in the development of the condition remains underexplored. A comprehensive analysis of the causality between cerebrospinal fluid metabolites (CSF) and epilepsy is pivotal in discovering innovative therapeutic interventions and prophylactic approaches.<h4>Methods</h4>Summary data from genome-wide association studies (GWAS) of CSF metabolites and epilepsy subtypes were obtained separately. A total of 338 CSF metabolites were investigated as exposures, and ",7
