approve,decision,category,confidence,Year,Reference,Sample_type,Platform,Platform_class,Study_population,N_proteins,N_samples,N_cis_pQTL,N_trans_pQTL,N_pQTL_total,PMID,DOI,PubMed_url,DOI_url,journal,snippet,notes,overlap_flag
,keep,primary_pgwas,high,2026,"Soremekun et al., Nat Genet 2026",Plasma,"SomaScan (2,873 proteins)",Aptamer (SomaScan),Ugandan population (continental African ancestry); T2D/prediabetes + normoglycemic controls,2873,525,346,53,399 independent associations,41507467,10.1038/s41588-025-02421-w,https://pubmed.ncbi.nlm.nih.gov/41507467/,https://doi.org/10.1038/s41588-025-02421-w,Nature genetics,We link genome-wide data to protein expression levels and construct a protein quantitative trait locus (pQTL) map for this population. We identify 399 independent associations with 346 (86.7%) cis-pQTLs and 53 (13.3%) trans-pQTLs.,De-novo proteomic measurement in a continental-African cohort + first pQTL map; downstream coloc/causal analysis is secondary.,
,keep,primary_pgwas,high,2026,"Bjarnadottir et al., bioRxiv 2026",Serum,"SomaScan (7,596 proteins / SOMAmers)",Aptamer (SomaScan),"Icelanders (deCODE), N=5,291",7596,5291,"independent cis-pQTLs for 2,166 SOMAmers",,,,10.64898/2026.03.17.712047,,https://doi.org/10.64898/2026.03.17.712047,"{'publisher': 'bioRxiv', 'yearOfPublication': 2026}","we integrated serum measurements of 7,596 proteins with genomic data, including LF variants (minor allele frequency [MAF] 0.1-1%), in 5,291 Icelanders to identify independent cis-pQTLs for 2,166 SOMAmers.",De-novo SomaScan serum measurement + cis-pQTL discovery focused on low-frequency variants; preprint.,
,keep,primary_pgwas,high,2025,"Cai et al., Genome Biol 2025",Plasma,Olink,PEA (Olink),"Women's Health Initiative + Framingham Heart Study (1033 African American, 1764 non-Hispanic White); replication in Jackson Heart Study (534 AA)",1245,2797 (1033 AA + 1764 NHW),4496,602,5103,40640959,10.1186/s13059-025-03671-x,https://pubmed.ncbi.nlm.nih.gov/40640959/,https://doi.org/10.1186/s13059-025-03671-x,Genome biology,We conduct an Olink protein quantitative trait locus (pQTL) analysis on 1245 proteins involving 1033 self-identified African American (AA) and 1764 non-Hispanic White (NHW) participants from the Women's Health Initiative and Framingham Heart Study.,"De-novo Olink pQTL discovery in diverse ancestries; 195 previously unreported pQTLs, mostly African-ancestry-specific. UKB-PPP used only for replication. Check overlap with prior FHS Olink pQTL work.",
,keep,primary_pgwas,high,2025,"Stinson et al., Am J Hum Genet 2025",Plasma,Olink Target 96 (Inflammation + Cardiovascular II),PEA (Olink),"3,707 Greenlandic Inuit (isolated Arctic population)",177,3707,85,144,251 primary (235 additive + 16 recessive) + 48 secondary,41232531,10.1016/j.ajhg.2025.10.013,https://pubmed.ncbi.nlm.nih.gov/41232531/,https://doi.org/10.1016/j.ajhg.2025.10.013,American journal of human genetics,"We analyzed genotypes and plasma proteomics data (Olink Target 96 Inflammation and Cardiovascular II panels) from 3,707 Greenlandic individuals ... Among 177 proteins, we identified 251 primary pQTLs.",Clean de-novo pQTL discovery in an underrepresented population; novel cis-pQTL for IL-6 reported.,
,keep,primary_pgwas,high,2025,"Suhre et al., Nat Genet 2025",Plasma,Proteograph (Seer) nanoparticle enrichment MS,Mass spec,Two cohorts (blood plasma),NR,NR,,,,41310232,10.1038/s41588-025-02413-w,https://pubmed.ncbi.nlm.nih.gov/41310232/,https://doi.org/10.1038/s41588-025-02413-w,Nature genetics,"Using the Seer Proteograph nanoparticle enrichment MS platform, we identified and replicated new pQTLs in a genome-wide association study of proteins in blood plasma samples from two cohorts.",De-novo MS proteomics + new genome-wide pQTL discovery and replication; also evaluates affinity-platform pQTLs but has primary scan. · folds preprint/twin: 10.1101/2024.05.27.596028,
,keep,primary_pgwas,high,2025,"Wang et al., Nat Commun 2025",Plasma,Olink Explore + SomaScan,Multi-platform,3976 Chinese adults (China Kadoorie Biobank),2168,3976,765 Olink + 513 SomaScan proteins with cis-pQTLs,,,39984443,10.1038/s41467-025-56935-2,https://pubmed.ncbi.nlm.nih.gov/39984443/,https://doi.org/10.1038/s41467-025-56935-2,Nature communications,"We measured plasma levels of 2168 proteins in 3976 Chinese adults using both Olink Explore and SomaScan platforms ... 765 Olink and 513 SomaScan proteins had cis-pQTLs, including 400 with colocalising cis-pQTLs.",De-novo measurement on both platforms in Chinese cohort with own cis-pQTL discovery; cross-platform comparison. · folds preprint/twin: 10.1101/2023.12.01.23299236,
,keep,primary_pgwas,high,2025,"Yang et al., Nat Commun 2025",Plasma,NR (proteomics platform not stated in abstract),Other,>2300 European + >400 African ancestry,NR,>2700 (>2300 EUR + >400 AFR),NR,NR,3802 (954 AFR + 2848 EUR pQTLs),40789849,10.1038/s41467-025-62463-w,https://pubmed.ncbi.nlm.nih.gov/40789849/,https://doi.org/10.1038/s41467-025-62463-w,Nature communications,"we generated and integrated plasma proteomics and metabolomics with the genotype datasets of over 2300 European (EUR) and 400 African (AFR) ancestries... we mapped 954 AFR pQTLs, 2848 EUR pQTLs.",De-novo plasma proteomics + ancestry-specific pQTL discovery; also mQTLs and downstream INTACT/coloc for T2D. Platform not named in abstract.,
,keep,primary_pgwas,high,2025,"Wingo et al., Nat Genet 2025",Brain,Mass spec (brain proteomics),Mass spec,"1,362 brain donors (African American, Hispanic/Latin American, non-Hispanic white)",NR,1362,,,858 multiancestry causal pQTLs (fine-mapped),40921788,10.1038/s41588-025-02291-2,https://pubmed.ncbi.nlm.nih.gov/40921788/,https://doi.org/10.1038/s41588-025-02291-2,Nature genetics,"we mapped protein quantitative trait loci (pQTLs) in 1,362 brain proteomes from African American, Hispanic/Latin American and non-Hispanic white donors.",De-novo multiancestry brain pQTL mapping with fine-mapping; MR is downstream (has primary data). Platform inferred as MS; not 100% explicit in abstract.,
,keep,primary_pgwas,high,2025,"Pietzner et al., medRxiv 2025",Plasma,"Proteograph XT (Seer) nanoparticle MS (also SomaLogic 11k, Olink HT in same samples)",Mass spec,"British-Bangladeshi & British-Pakistani (Genes & Health), >1,400 individuals",8067 protein groups (MS),1400,895,,>1200 variant-protein associations,,10.1101/2025.08.12.25333522,,https://doi.org/10.1101/2025.08.12.25333522,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","Here, we integrate exome sequencing and common non-coding variation with untargeted nanoparticle enriched mass spectrometry (MS)-based plasma proteomics (Seer Proteograph XT: n=8067 protein groups) in >1,400 British-Bangladeshi and British-Pakistani individuals.",De-novo MS proteomics + new pQTL discovery in South Asian cohort; cross-platform comparison with SomaScan/Olink; preprint (no PMID).,
,keep,primary_pgwas,high,2025,"Hartley et al., bioRxiv 2025","Plasma + tissue (aortic wall, mammary artery, liver, skeletal muscle)",Olink Explore 3072 (3.2k),PEA (Olink),"STARNET (n=284, predominantly male CAD patients)",~3000 (Olink Explore 3.2k),284,608 cis-pQTLs,,608 cis-pQTLs (13 tissue-exclusive),,10.1101/2025.06.30.662294,,https://doi.org/10.1101/2025.06.30.662294,"{'publisher': 'bioRxiv', 'yearOfPublication': 2025}","We employed the Olink Explore 3.2k platform to assess relative protein levels in each tissue. We identify 608 cis-pQTLs, the majority of which are found in plasma ... 13 proteins with exclusive tissue-specific pQTLs.",De-novo multi-tissue Olink measurement in STARNET with derivation of tissue-specific cis-pQTLs; clean primary multi-tissue pGWAS (also runs coloc/MR downstream).,
